distance_ticks,count
0,2500
1,1750
2,508
3,271
4,162
5,132
6,117
7,109
8,77
9,118
10,114
11,130
12,130
13,91
14,71
15,60
16,65
17,62
18,52
19,52
20,92
21,232
22,391
23,373
24,309
25,208
26,205
27,186
28,62
29,78
30,107
31,90
32,82
33,69
34,56
35,52
36,40
37,47
38,35
39,32
40,21
41,18
42,20
43,26
44,12
45,20
46,13
47,13
48,10
49,9
50,17
51,15
52,8
53,6
54,19
55,6
56,9
57,5
58,5
59,3
60,5
61,1
62,1
63,3
64,1
65,3
66,1
67,1
68,2
69,7
70,6
71,8
72,1
73,2
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,2
84,3
86,1
87,6
88,6
89,7
90,12
91,4
92,7
93,3
94,9
95,9
96,10
97,6
98,8
99,20
100,27
101,81
102,129
103,120
104,124
105,137
106,152
107,61
108,18
109,13
110,22
111,26
112,44
113,57
114,85
115,68
116,22
117,12
118,8
119,32
120,60
121,70
122,45
123,19
124,1
126,1
127,1
128,1
129,2
131,1
132,1
133,2
138,3
141,1
143,1
145,3
149,1
154,1
157,1
158,2
164,1
165,1
167,3
170,2
171,2
172,2
175,1
177,1
180,1
181,1
183,1
185,1
189,1
192,1
197,1
199,1
206,1
209,2
223,1
224,1
225,2
228,1
232,1
236,2
238,2
239,1
241,2
250,2
258,1
259,1
262,1
271,1
272,1
273,3
275,3
276,1
280,3
283,1
286,1
290,2
293,1
296,1
297,1
298,5
300,1
301,1
302,7
303,5
304,1
305,12
306,6
307,16
308,27
309,66
310,60
311,46
312,30
313,18
314,8
315,3
316,3
317,7
318,1
319,2
320,3
321,3
322,11
323,13
324,9
325,5
326,8
327,5
328,2
329,6
330,2
331,1
332,1
333,3
334,1
335,16
336,14
337,4
338,3
339,1
357,1
363,1
365,1
368,1
374,4
375,1
388,1
391,3
392,1
397,1
398,3
411,1
428,1
452,3
459,1
461,1
467,1
476,1
480,3
487,1
490,3
496,1
497,4
502,1
507,1
509,2
525,1
530,1
544,1
557,1
559,1
562,1
565,1
582,3
585,1
590,3
599,1
602,1
618,1
655,3
673,2
682,3
765,3
773,1
849,1
859,1
874,1
883,2
936,1
955,1
967,1
987,1
996,8
997,16
1007,1
1018,3
1025,3
1042,3
1043,4
1083,3
1106,23
1107,1
1131,6
1134,8
1142,2
1174,5
1175,1
1191,23
1234,2
1235,3
1261,1
1314,3
1424,2
1837,1
2549,1
3068,1
3447,1
