distance_ticks,count
0,1960
1,508
2,244
3,359
4,383
5,226
6,180
7,118
8,149
9,96
10,119
11,62
12,53
13,48
14,61
15,50
16,74
17,131
18,161
19,174
20,111
21,68
22,61
23,82
24,77
25,47
26,18
27,16
28,17
29,12
30,11
31,8
32,9
33,10
34,7
35,6
36,12
37,7
38,6
39,9
40,8
41,2
42,3
43,8
44,4
45,12
46,5
47,3
48,9
49,4
50,4
51,4
52,5
56,3
57,4
58,4
59,2
60,6
61,5
62,7
63,17
64,5
65,1
66,3
67,6
68,1
69,1
70,2
72,18
73,4
75,1
82,2
84,1
86,1
87,2
88,1
89,2
90,2
91,1
92,1
93,3
94,3
98,1
102,1
103,1
104,2
112,3
117,1
122,1
133,3
134,2
153,1
161,1
163,2
164,1
166,1
167,1
170,1
175,1
177,1
178,4
180,1
191,1
192,1
210,1
211,2
215,1
219,1
220,1
229,4
230,16
237,3
244,1
258,4
277,1
594,1
745,1
763,1
