quantity,count
1,595
2,583
3,292
4,152
5,523
6,225
7,96
8,132
9,43
10,628
11,88
12,30
13,33
14,20
15,177
16,40
17,35
18,87
19,59
20,468
21,53
22,72
23,40
24,48
25,98
26,62
27,45
28,79
29,67
30,1181
31,21
32,25
33,15
34,29
35,35
36,3
37,5
38,18
39,5
40,88
41,5
42,10
43,21
44,11
45,8
46,5
47,79
48,7
49,124
50,117
51,5
52,7
53,5
54,18
55,16
56,6
57,11
58,8
59,11
60,16
61,15
62,7
63,21
64,9
65,20
66,13
67,4
68,11
69,4
70,32
71,17
72,15
73,5
74,8
75,15
76,10
77,6
78,4
79,5
80,12
81,7
82,6
83,8
84,18
85,12
86,4
87,2
88,12
89,7
90,27
91,10
92,30
93,6
94,3
95,16
96,18
97,8
98,10
99,12
100,58561
101,5
102,8
103,12
104,8
105,4
106,2
107,3
108,19
109,4
110,3
111,6
112,7
113,68
114,1
116,1
117,1
118,2
119,5
120,32
121,14
123,4
124,9
125,2
126,119
127,3
128,2
129,1
130,6
131,2
135,1
139,2
140,5
141,2
142,78
145,2
146,2
148,1
149,1
150,35
152,2
154,2
156,9
157,1
158,2
159,1
160,1
161,1
162,2
164,1
166,1
167,2
169,2
170,2
173,1
176,2
177,2
179,1
180,1
181,1
182,1
184,1
187,1
189,148
191,96
192,3
193,1
195,69
196,3
197,1
198,2
199,12
200,2877
209,21
212,1
213,56
218,32
223,1
234,1
239,1
240,3
250,5
253,1
258,1
277,1
278,2
281,2
291,1
298,1
299,7
300,589
310,1
312,1
317,1
325,1
330,2
334,1
340,1
350,6
391,1
399,2
400,408
410,2
439,1
441,1
480,1
498,1
499,1
500,524
517,1
518,1
550,1
553,1
567,1
575,1
588,2
600,63
608,1
700,83
720,1
732,1
750,2
752,1
800,19
801,1
817,1
840,2
900,19
963,1
980,1
1000,69
1003,1
1067,2
1100,11
1200,5
1300,3
1400,4
1437,2
1500,7
1631,1
1700,4
1800,1
1888,1
1900,2
2000,42
2150,1
2600,1
2666,1
2766,1
3274,2
3378,1
3564,1
4400,2
5000,1
5216,1
6153,2
6357,1
8871,1
