quantity,count
1,45
2,55
3,45
4,18
5,33
6,14
7,10
8,20
9,9
10,105
11,25
12,5
13,1
14,3
15,9
16,10
17,10
18,6
19,3
20,19
21,6
22,6
23,41
24,3
25,2
26,11
27,9
28,2
29,5
30,16
31,4
32,1
33,7
34,2
35,2
36,1
37,5
38,6
39,5
40,12
43,5
44,4
45,3
46,8
47,2
48,5
49,1
50,11
52,1
54,8
55,3
56,3
57,5
58,2
59,3
60,25
61,5
62,2
63,3
64,2
65,3
66,2
67,5
68,2
69,3
70,12
71,3
72,3
73,4
74,7
75,1
76,3
77,4
78,2
80,7
81,1
82,1
83,4
84,2
85,1
86,1
87,2
88,3
89,1
90,13
91,2
92,1
94,4
95,6
96,3
98,2
99,3
100,267
103,1
104,1
110,3
112,1
113,1
115,1
118,1
120,1
124,1
125,1
133,1
135,1
138,1
139,3
149,1
152,1
154,2
156,1
158,1
162,1
164,1
167,1
170,1
172,1
173,1
178,1
180,2
184,1
185,1
188,1
190,2
199,1
200,58
219,2
222,1
225,1
230,1
246,1
257,1
266,1
289,2
295,1
300,14
311,1
313,1
400,13
424,1
472,1
497,1
500,5
528,1
600,8
627,1
673,1
700,3
900,2
1000,2
