distance_ticks,count
0,496
1,122
2,27
3,16
4,36
5,20
6,18
7,27
8,29
9,31
10,24
11,34
12,22
13,17
14,21
15,15
16,10
17,15
18,13
19,20
20,8
21,8
22,7
23,17
24,10
25,12
26,14
27,14
28,38
29,35
30,16
31,13
32,22
33,20
34,9
35,8
36,27
37,26
38,29
39,12
40,7
41,8
42,6
43,2
44,6
45,2
46,3
47,6
48,4
49,3
50,3
51,6
52,5
53,8
54,4
55,1
56,2
57,3
58,2
59,2
60,6
61,1
62,1
63,7
64,5
65,3
66,2
67,4
68,1
69,3
70,7
71,8
72,5
73,9
74,2
75,9
76,1
77,2
78,3
79,5
80,4
81,7
82,5
83,4
84,10
85,4
86,6
87,2
88,8
89,4
90,3
91,6
92,3
94,2
95,2
96,3
98,6
99,4
100,4
105,1
108,5
109,1
110,2
112,2
114,2
117,3
119,5
122,2
125,2
127,1
129,3
130,2
131,2
132,1
133,2
135,3
136,1
137,1
138,6
139,1
144,2
148,3
153,1
154,1
158,1
159,1
164,1
171,1
177,2
180,1
183,1
184,1
212,1
215,1
220,1
224,2
226,1
228,1
232,1
233,2
234,1
235,5
236,4
242,3
246,3
254,1
256,1
260,18
262,1
263,22
268,2
269,1
270,18
271,3
275,3
280,2
281,21
286,4
288,1
289,2
293,18
296,4
298,2
302,19
305,4
306,18
310,13
311,3
312,7
313,3
315,1
316,11
317,6
318,1
319,7
320,1
323,3
326,4
327,3
329,19
330,1
331,4
332,1
342,1
343,3
350,17
351,1
354,18
371,1
386,3
427,3
445,1
468,1
518,4
521,4
560,4
563,5
580,1
588,1
589,1
612,1
629,3
635,3
637,1
676,1
677,3
724,1
916,4
964,5
3278,1
