quantity,count
1,1382
2,363
3,265
4,306
5,2335
6,187
7,177
8,86
9,46
10,675
11,65
12,191
13,56
14,84
15,185
16,91
17,67
18,121
19,261
20,386
21,64
22,15
23,26
24,15
25,12
26,213
27,6
28,7
29,11
30,49
31,42
32,59
33,312
34,11
35,30
36,27
37,25
38,25
39,46
40,30
41,41
42,23
43,18
44,73
45,24
46,21
47,80
48,18
49,33
50,273
51,23
52,32
53,39
54,20
55,185
56,58
57,31
58,20
59,13
60,24
61,70
62,12
63,15
64,12
65,4
66,11
67,6
68,28
69,5
70,17
71,10
72,16
73,29
74,14
75,46
76,22
77,12
78,24
79,12
80,23
81,20
82,30
83,16
84,11
85,27
86,15
87,11
88,16
89,24
90,17
91,17
92,13
93,7
94,6
95,19
96,2
97,19
98,4
99,17
100,72045
101,3
102,2
103,9
104,1
105,3
106,6
107,4
108,3
109,2
110,26
111,3
112,2
113,1
114,15
115,1
117,1
120,4
121,3
122,1
123,2
124,3
125,1
129,2
131,2
132,6
134,3
135,2
136,6
138,2
139,4
140,18
141,2
142,1
143,1
144,2
145,1
147,2
149,2
151,4
152,2
154,1
157,1
158,3
159,4
160,2
162,2
163,5
167,1
168,2
169,1
173,1
174,1
177,1
179,2
180,16
181,1
184,1
187,1
189,4
192,1
194,4
196,1
197,1
198,3
199,5
200,1893
223,2
240,1
267,4
275,2
288,1
289,1
296,1
300,792
305,1
331,1
336,10
360,2
361,33
362,5
370,1
386,1
400,27
407,1
410,37
499,9
500,4629
537,1
600,48
674,1
700,13
800,2
900,2
1074,1
1100,1
1600,1
2000,53
2700,1
5000,1
