quantity,count
1,574
2,323
3,152
4,154
5,467
6,85
7,20
8,44
9,34
10,211
11,37
12,5
13,6
14,20
15,84
16,8
17,16
18,24
19,8
20,146
21,42
22,19
23,12
24,169
25,40
26,69
27,36
28,12
29,27
30,285
31,3
32,16
33,1
34,7
35,4
36,9
37,7
38,37
39,18
40,15
41,5
42,1
44,2
45,4
47,4
48,12
49,1
50,2
51,3
52,4
53,7
58,10
61,5
62,4
66,8
67,3
68,8
69,6
70,2
71,3
73,11
74,2
75,79
77,7
78,41
79,41
80,28
81,12
82,2
83,3
84,2
85,1
86,1
87,122
89,10
90,56
91,23
92,7
93,6
95,2
96,41
98,27
99,9
100,15712
101,1
105,2
108,13
109,62
112,1
113,2
118,1
120,99
121,2
124,3
134,1
137,48
138,51
139,4
141,1
142,1
149,1
150,3
156,1
160,5
163,1
164,4
176,2
180,1
194,1
195,2
198,1
200,935
203,1
220,5
232,1
254,1
284,1
295,1
300,263
310,1
322,1
347,1
361,1
372,1
400,79
442,1
463,5
500,52
545,1
600,2
700,124
800,111
900,30
1000,26
1100,2
1200,1
1400,1
1500,3
1520,1
1600,1
2284,2
3000,1
4000,2
4052,2
4500,1
5000,2
7125,2
9815,1
