distance_ticks,count
0,8497
1,520
2,454
3,636
4,1115
5,1426
6,1405
7,1187
8,1012
9,93
10,71
11,98
12,36
13,48
14,62
15,47
16,28
17,26
18,36
19,41
20,29
21,48
22,29
23,42
24,33
25,30
26,29
27,30
28,23
29,22
30,22
31,20
32,26
33,19
34,31
35,28
36,34
37,31
38,23
39,19
40,11
41,15
42,13
43,18
44,30
45,14
46,9
47,7
48,10
49,45
50,12
51,9
52,6
53,10
54,9
55,7
56,2
57,5
58,6
59,11
60,7
61,14
62,16
63,3
64,8
65,9
66,5
67,13
68,10
69,6
70,6
71,11
72,8
73,10
74,8
75,3
76,5
77,7
78,29
79,7
80,47
81,20
82,7
83,4
84,5
85,7
86,6
87,4
88,8
89,6
90,3
91,4
92,2
93,3
94,6
95,4
96,3
97,5
98,2
99,11
100,2
101,7
102,3
103,1
104,4
105,2
106,3
107,3
108,6
109,2
110,6
111,1
112,7
113,1
114,4
115,3
116,7
117,4
118,3
119,3
120,6
121,2
122,5
123,5
124,12
125,8
126,4
127,1
128,3
129,5
130,3
131,2
132,6
133,6
134,8
135,7
136,8
137,20
138,11
139,17
140,12
141,21
142,16
143,23
144,21
145,24
146,38
147,133
148,293
149,324
150,235
151,46
152,26
153,34
154,23
155,20
156,8
157,11
158,12
159,10
160,6
161,10
162,5
163,8
164,3
165,10
166,8
167,8
168,4
169,20
170,43
171,81
172,64
173,34
174,13
175,11
176,10
177,13
178,7
179,5
180,8
181,9
182,9
183,6
184,6
185,3
186,5
187,7
188,6
189,13
190,7
191,8
192,6
193,12
194,13
195,14
196,14
197,13
198,23
199,7
200,16
201,5
202,5
203,8
204,8
205,10
206,19
207,19
208,19
209,31
210,48
211,25
212,33
213,54
214,113
215,154
216,86
217,76
218,77
219,42
220,30
221,25
222,37
223,28
224,30
225,28
226,19
227,27
228,28
229,42
230,29
231,20
232,38
233,30
234,85
235,223
236,266
237,265
238,100
239,31
240,20
241,7
242,9
243,5
244,6
245,11
246,14
247,4
248,5
249,18
250,2
251,1
254,2
255,2
256,2
257,1
259,2
260,1
261,1
265,1
270,1
271,1
273,3
274,1
276,1
277,2
278,1
279,1
282,2
283,1
284,4
285,1
287,5
289,1
294,1
296,1
297,1
298,1
299,1
300,2
302,1
304,3
305,1
312,1
315,1
317,1
318,1
319,1
320,1
321,1
323,1
326,1
331,1
339,1
341,1
343,4
344,3
352,1
353,1
354,2
356,1
358,1
365,3
368,2
370,2
376,5
379,1
382,2
383,1
386,1
388,1
390,2
396,2
397,2
398,1
399,1
400,1
401,4
402,1
403,2
404,1
405,1
407,2
409,1
410,1
411,1
412,2
413,2
414,1
415,3
416,4
417,1
418,1
419,2
420,4
422,1
424,1
425,2
426,4
427,6
428,4
429,3
430,3
431,3
432,3
433,3
434,1
435,6
436,1
437,8
438,4
439,4
440,9
441,2
442,4
443,3
444,2
445,2
446,3
448,8
449,4
450,6
451,5
452,10
453,22
454,12
455,33
456,17
457,28
458,27
459,59
460,59
461,75
462,55
463,96
464,84
465,54
466,47
467,19
468,20
469,19
470,8
471,19
472,16
473,9
474,6
475,3
476,3
477,6
478,2
479,8
480,1
481,3
482,6
483,10
484,9
485,3
486,6
487,3
488,5
489,5
490,2
491,9
493,2
496,2
497,2
498,2
499,1
500,2
501,2
502,5
503,2
504,7
505,14
506,3
507,3
508,1
509,1
510,2
511,3
513,2
515,2
517,2
525,2
527,1
528,2
531,1
534,1
536,1
537,1
539,2
553,1
554,1
557,3
559,1
560,2
562,1
564,1
565,2
570,1
573,2
574,1
594,2
596,1
597,1
600,1
615,2
626,1
635,1
641,1
644,2
646,1
648,1
659,1
665,1
673,1
686,1
690,2
703,1
716,4
726,1
745,1
771,2
773,2
785,1
787,3
796,2
799,1
810,1
814,1
850,1
864,1
865,2
902,1
909,1
915,1
931,1
932,1
955,1
968,1
976,2
987,2
1015,2
1022,1
1025,1
1033,1
1044,1
1058,2
1065,1
1137,1
1147,1
1150,1
1165,1
1199,1
1215,1
1225,2
1268,3
1282,1
1287,1
1312,1
1315,2
1334,1
1363,1
1365,1
1372,19
1389,1
1411,3
1417,19
1419,1
1447,3
1481,2
1487,1
1498,1
1537,3
1563,1
1565,4
1594,19
1650,19
1656,3
1674,19
1678,1
1711,1
1738,13
1740,5
1742,18
1755,1
1763,2
1794,3
1815,2
1821,1
1825,1
1844,18
1873,1
1898,2
1926,2
1937,2
1950,1
1956,1
1988,1
1990,14
1994,1
2008,1
2016,3
2019,11
2020,1
2050,1
2065,2
2073,1
2108,1
2110,3
2112,1
2117,8
2144,3
2165,1
2176,12
2187,1
2226,12
2237,1
2259,3
2287,1
2361,1
2388,1
2390,1
2414,1
2425,1
2468,1
2815,1
2862,1
3015,2
3115,1
3640,1
3830,1
4065,2
4265,1
4471,1
4513,1
4565,2
