quantity,count
1,458
2,133
3,105
4,64
5,124
6,62
7,80
8,31
9,44
10,122
11,28
12,29
13,28
14,37
15,30
16,23
17,22
18,19
19,23
20,58
21,16
22,15
23,9
24,9
25,19
26,15
27,11
28,7
29,14
30,38
31,23
32,17
33,13
34,9
35,5
36,9
37,32
38,2
39,8
40,20
41,13
42,9
43,10
44,6
45,12
46,11
47,10
48,11
49,9
50,54
51,10
52,11
53,6
54,11
55,9
56,3
57,5
58,9
59,10
60,13
61,6
62,9
63,15
64,6
65,5
66,7
67,5
68,7
69,14
70,4
71,6
72,4
73,3
74,6
75,10
76,4
77,5
78,3
79,8
80,17
81,10
82,7
83,10
84,6
85,8
86,10
87,6
88,11
89,5
90,16
91,12
92,6
93,10
94,5
95,16
96,9
97,8
98,21
99,25
100,996
102,1
103,2
105,3
106,3
110,4
111,3
112,2
114,2
117,1
118,1
119,2
120,1
121,2
123,1
124,1
125,3
131,2
132,1
134,2
140,1
141,1
142,2
150,1
152,1
159,1
161,1
168,2
170,1
171,1
176,2
177,1
180,2
184,1
188,1
190,1
193,1
194,1
198,1
200,45
207,1
209,1
212,1
216,2
217,1
229,1
230,1
231,2
241,1
262,1
263,1
289,1
299,1
300,17
309,1
339,1
340,1
348,1
349,1
350,1
383,1
394,1
400,6
486,1
500,5
588,1
591,1
598,1
600,1
642,1
667,1
689,1
691,1
1000,1
1899,1
