distance_ticks,count
0,35086
1,11411
2,1899
3,764
4,991
5,1024
6,639
7,576
8,445
9,255
10,223
11,131
12,106
13,64
14,36
15,41
16,36
17,40
18,130
19,161
20,119
21,125
22,46
23,122
24,104
25,142
26,132
27,201
28,356
29,273
30,323
31,198
32,279
33,417
34,278
35,286
36,20
37,12
38,17
39,7
40,11
41,4
42,7
43,16
44,14
45,20
46,12
47,10
48,22
49,7
50,8
51,20
52,9
53,70
54,113
55,123
56,102
57,46
58,16
59,7
60,7
61,1
62,1
63,6
64,8
65,16
66,23
67,9
68,4
69,5
70,2
71,2
72,1
73,3
74,2
75,11
76,14
77,12
78,15
79,7
81,1
82,5
83,1
84,2
87,7
88,4
89,10
90,4
91,1
92,2
93,2
95,1
96,2
97,3
99,1
102,1
103,5
104,1
105,1
106,1
107,3
108,2
110,1
112,3
113,2
115,3
116,3
119,1
120,1
121,1
123,1
125,3
127,1
129,1
130,2
132,3
133,2
136,3
139,1
143,1
145,1
155,1
159,1
164,1
165,4
168,1
169,3
172,3
176,2
179,1
180,1
185,23
186,1
187,18
188,5
190,25
191,1
195,3
196,3
197,1
200,1
202,1
205,2
206,1
207,2
212,25
214,25
215,2
216,3
221,2
222,4
229,1
235,3
236,25
237,1
239,20
247,3
251,3
257,1
267,1
270,1
271,1
272,23
274,1
275,1
276,2
278,1
279,2
280,7
281,3
283,1
302,1
308,2
315,1
322,1
323,1
327,1
335,1
340,1
353,1
415,1
426,1
463,1
471,1
560,1
614,1
703,1
765,1
829,1
870,1
1029,1
1240,1
1270,1
1365,1
1390,1
1765,1
2297,1
11070,1
11506,1
9998932,1
9999066,1
