quantity,count
1,185
2,59
3,21
4,28
5,38
6,23
7,40
8,20
9,14
10,44
11,11
12,23
13,20
14,14
15,21
16,16
17,12
18,10
19,8
20,31
21,12
22,9
23,9
24,9
25,12
26,11
27,9
28,11
29,13
30,14
31,10
32,10
33,9
34,10
35,4
36,13
37,8
38,5
39,12
40,17
41,4
42,8
43,7
44,4
45,13
46,11
47,7
48,12
49,4
50,28
51,13
52,8
53,9
54,14
55,9
56,8
57,5
58,6
59,7
60,10
61,12
62,2
63,3
64,10
65,4
66,10
67,8
68,2
69,11
70,11
71,3
72,5
73,9
74,9
75,19
76,8
77,10
78,6
79,3
80,16
81,5
82,2
83,6
84,7
85,11
86,6
87,12
88,12
89,9
90,11
91,11
92,10
93,13
94,8
95,10
96,11
97,7
98,19
99,37
100,2121
101,3
102,4
103,3
104,3
105,3
107,2
109,2
110,1
111,2
112,20
113,2
114,2
115,2
116,1
117,4
118,1
119,3
121,2
122,2
123,3
124,3
125,1
126,1
127,1
128,1
129,2
130,4
131,1
133,1
135,1
136,1
137,1
138,1
139,2
140,1
143,2
144,2
146,2
147,2
148,2
149,3
150,11
152,1
156,1
157,1
159,2
160,1
161,1
163,1
165,1
167,1
168,1
169,2
170,2
171,1
174,2
176,1
177,1
178,1
180,1
181,1
182,2
183,1
185,1
186,2
189,1
190,1
191,2
192,1
193,2
194,1
195,2
196,2
198,3
199,1
200,290
201,1
203,1
207,1
208,1
209,2
211,1
212,1
216,1
217,1
221,2
223,1
224,8
225,3
226,1
230,1
231,1
232,1
233,1
234,1
237,1
238,1
239,1
240,2
246,1
248,2
250,4
252,1
256,1
258,1
259,1
260,2
261,1
263,1
265,1
266,1
270,3
271,1
272,1
279,1
284,1
289,1
290,2
291,2
292,1
293,1
294,1
295,1
296,2
299,3
300,118
301,1
302,1
306,1
307,2
309,1
310,6
311,1
315,1
316,1
320,1
325,1
331,1
336,1
339,1
340,1
341,2
343,2
349,1
350,2
354,2
355,1
357,1
359,1
360,5
361,2
364,1
365,3
366,1
370,1
371,1
375,1
378,1
379,2
380,2
382,1
383,1
384,1
387,1
390,4
396,1
400,76
401,1
409,1
420,1
423,1
432,1
441,1
444,1
447,1
448,1
458,1
460,1
462,2
482,1
485,1
489,1
491,1
498,1
499,1
500,36
515,1
520,2
521,2
524,2
527,1
528,1
530,1
558,1
569,1
578,1
580,1
584,1
585,1
600,21
609,1
616,1
635,1
637,1
663,1
678,1
700,22
703,1
706,1
709,1
730,1
800,11
815,1
823,1
830,1
900,11
920,1
969,1
998,3
1000,11
1018,1
1021,1
1037,1
1100,3
1180,1
1200,2
1250,1
1260,1
1294,1
1300,1
1329,1
1354,1
1411,1
1487,1
1500,6
1540,1
1541,1
1571,1
1608,1
1700,1
1769,1
1800,1
1900,2
1930,1
2000,3
2037,1
2083,1
2201,1
2300,1
2364,1
2485,1
2500,1
2816,1
2900,1
3093,1
5000,2
7230,1
8300,1
