quantity,count
1,142
2,18
3,52
4,46
5,147
6,46
7,21
8,10
9,5
10,159
11,9
12,25
13,8
14,4
15,130
16,11
17,19
18,8
19,11
20,87
21,26
22,23
23,14
24,24
25,48
26,52
27,47
28,43
29,38
30,1221
31,9
32,5
33,8
34,17
35,10
36,3
37,4
38,1
39,1
40,58
41,6
42,4
43,6
44,1
45,4
46,3
47,2
48,6
49,2
50,76
51,6
52,5
53,3
54,7
55,3
56,3
57,23
58,5
59,2
60,37
61,5
62,1
64,6
65,4
66,3
67,1
68,2
69,7
70,43
71,2
72,10
73,5
74,3
75,4
76,4
77,1
78,3
79,4
80,24
82,3
83,3
84,1
85,2
87,4
88,5
89,5
90,10
91,1
92,3
93,2
94,1
95,4
96,4
97,9
98,5
99,16
100,26384
101,1
102,2
104,3
105,1
106,2
107,1
108,1
109,1
111,1
112,5
116,2
119,1
123,1
124,1
125,1
127,1
128,2
130,6
131,1
132,3
140,3
141,3
143,1
146,5
148,2
150,2
151,1
158,1
163,1
166,1
169,2
170,1
174,1
180,1
182,35
183,1
190,5
191,2
193,2
194,1
196,4
197,2
198,2
199,2
200,1748
207,68
221,1
226,1
240,1
245,1
250,4
258,22
290,1
292,1
300,805
305,2
307,5
322,69
325,18
326,17
333,26
350,2
356,4
367,14
373,8
375,1
376,1
400,495
500,188
550,1
551,1
557,1
585,1
600,176
607,3
700,93
750,1
800,42
894,1
900,98
930,2
1000,68
1044,1
1071,1
1090,1
1100,6
1200,1
1300,1
1400,4
1436,1
1500,2
1660,1
1667,1
1700,2
1800,9
1900,2
2000,2
2300,1
2335,1
2400,2
2500,1
2800,2
2900,2
