quantity,count
1,588
2,103
3,69
4,49
5,80
6,37
7,13
8,16
9,20
10,110
11,16
12,12
13,30
14,7
15,176
16,21
17,11
18,18
19,8
20,149
21,25
22,72
23,17
24,27
25,38
26,20
27,34
28,23
29,36
30,1094
31,4
32,3
33,17
34,3
35,6
36,3
37,5
38,7
39,3
40,19
41,1
42,14
43,2
44,7
45,2
46,3
47,3
48,2
49,1
50,30
51,8
52,15
53,13
54,13
55,10
56,7
57,19
58,33
59,10
60,20
61,6
62,5
63,4
64,8
65,2
66,7
67,9
68,14
69,4
70,6
71,7
72,9
73,6
74,6
75,9
76,4
77,8
78,8
79,2
80,32
81,4
82,10
83,2
84,9
85,1
86,3
87,4
88,5
89,2
90,12
91,6
92,17
93,17
94,3
95,3
96,6
97,4
98,1
99,14
100,25604
101,14
103,1
104,2
105,1
106,1
108,2
109,1
110,6
111,2
112,2
113,2
114,2
115,1
116,1
119,3
120,4
121,2
122,3
123,5
124,2
125,2
126,1
128,4
129,1
130,1
131,2
133,2
134,2
136,3
140,2
141,1
142,2
145,1
146,3
147,2
149,1
150,3
152,3
156,1
161,1
162,1
165,3
167,3
171,4
174,2
175,3
176,1
178,1
179,1
180,2
182,49
183,1
184,6
185,1
186,1
189,1
190,3
192,1
194,1
196,2
197,2
198,3
199,1
200,1645
202,7
203,1
207,51
213,4
218,1
224,2
233,1
237,2
240,3
250,2
255,1
258,16
260,1
261,4
262,1
263,2
276,14
278,1
279,1
280,1
286,1
288,1
295,1
297,1
298,1
300,492
301,2
306,1
314,7
319,1
320,1
322,30
326,27
330,1
333,37
335,6
351,1
355,1
356,38
364,2
367,21
373,17
375,1
376,1
398,1
400,656
411,2
415,1
424,1
436,1
440,4
444,5
477,1
496,1
500,170
503,7
526,1
597,2
600,133
629,2
630,1
631,1
633,1
634,2
638,4
644,1
649,6
690,1
700,90
750,1
800,15
855,1
858,1
900,93
943,2
958,2
1000,75
1020,1
1024,1
1040,1
1050,1
1100,7
1116,1
1199,1
1400,6
1500,1
1572,1
1700,4
1800,9
1900,2
1980,1
2000,4
2011,1
2200,1
2300,1
2400,2
2500,2
2600,1
2700,1
2900,1
3000,1
3072,3
3100,1
6000,1
