quantity,count
1,1794
2,731
3,452
4,383
5,844
6,358
7,299
8,390
9,523
10,6661
11,1163
12,266
13,310
14,781
15,311
16,147
17,96
18,199
19,79
20,568
21,79
22,89
23,80
24,757
25,250
26,120
27,737
28,460
29,255
30,1341
31,316
32,564
33,252
34,479
35,216
36,344
37,157
38,151
39,117
40,212
41,152
42,102
43,114
44,223
45,303
46,149
47,100
48,616
49,619
50,1201
51,581
52,521
53,371
54,122
55,64
56,67
57,53
58,40
59,87
60,195
61,273
62,163
63,115
64,251
65,163
66,683
67,490
68,156
69,41
70,101
71,61
72,60
73,35
74,36
75,53
76,20
77,31
78,193
79,66
80,83
81,37
82,46
83,33
84,65
85,35
86,40
87,55
88,26
89,33
90,60
91,18
92,46
93,27
94,40
95,45
96,25
97,45
98,41
99,49
100,318133
101,38
102,28
103,24
104,29
105,13
106,26
107,26
108,26
109,31
110,54
111,31
112,29
113,26
114,11
115,21
116,22
117,33
118,19
119,37
120,17
121,21
122,22
123,39
124,20
125,38
126,16
127,14
128,20
129,16
130,36
131,17
132,9
133,17
134,20
135,13
136,57
137,14
138,43
139,21
140,14
141,10
142,46
143,8
144,23
145,2
146,32
147,16
148,5
149,2
150,42
151,10
152,5
153,11
154,5
155,8
156,12
157,10
158,9
159,5
160,13
161,7
162,5
163,9
164,2
165,7
166,10
167,13
168,3
169,12
170,14
171,2
172,14
173,20
174,5
175,12
176,1
177,9
178,10
179,13
180,19
181,8
182,11
183,5
184,15
186,4
187,12
188,5
189,13
190,8
191,4
192,11
193,8
194,14
195,13
196,2
197,2
198,24
199,5
200,19729
201,4
202,10
203,18
204,32
205,12
206,7
207,9
208,5
209,14
210,10
211,9
212,3
213,15
214,2
215,4
216,12
217,12
218,7
219,12
220,10
221,11
222,13
223,6
224,16
225,24
226,10
227,9
228,5
229,16
230,21
231,2
232,10
233,6
234,14
235,19
236,14
237,12
238,6
239,9
240,8
241,7
242,23
243,8
244,6
245,5
246,16
247,7
248,8
249,3
250,37
251,10
252,10
253,7
254,5
255,6
256,15
257,6
258,4
259,8
260,10
261,4
262,1
263,7
264,5
265,9
266,4
267,8
268,6
269,8
270,7
271,14
272,3
273,17
274,4
275,11
276,4
277,2
278,3
279,6
280,2
281,1
282,5
284,1
285,12
286,2
287,5
288,1
289,27
290,3
291,2
292,10
293,6
294,9
295,4
296,6
298,3
299,6
300,7545
301,1
302,6
303,11
305,2
306,2
307,26
308,1
309,3
311,2
312,1
313,13
315,4
316,3
317,2
318,8
319,5
320,15
321,11
322,4
323,5
324,3
328,6
329,70
330,115
332,2
333,9
334,21
335,2
338,2
339,7
340,32
342,1
344,4
345,1
349,2
350,63
351,2
352,2
355,2
356,4
357,1
358,1
359,1
360,79
361,15
364,1
365,27
366,1
370,10
371,37
372,13
373,1
374,1
376,3
377,2
378,4
379,2
380,13
384,4
386,2
387,1
389,13
390,3
391,3
397,2
398,1
399,4
400,11338
401,1
405,1
407,2
409,1
410,16
413,5
417,6
418,3
420,18
421,1
423,1
424,8
425,1
427,1
430,33
431,1
435,3
436,2
439,7
440,27
444,6
448,1
450,11
453,1
456,12
457,1
458,1
462,3
465,2
468,1
469,4
471,4
473,17
474,4
477,35
479,2
480,28
484,17
489,2
490,21
493,9
495,1
498,1
499,6
500,6006
502,2
503,1
507,1
510,1
511,1
513,6
514,2
519,1
520,1
525,2
526,1
528,1
535,2
539,2
542,1
545,2
554,1
556,3
557,1
568,1
571,3
576,2
579,2
580,7
582,1
588,1
589,15
590,5
592,1
594,2
595,1
600,818
601,1
602,5
611,1
630,1
631,2
635,3
638,1
639,22
641,1
645,1
656,1
660,1
661,1
665,1
669,1
675,1
676,1
677,1
678,4
679,1
680,1
681,1
689,2
691,6
698,1
700,510
702,5
705,1
708,2
718,1
728,1
729,1
730,1
734,2
735,3
770,1
777,5
782,1
784,6
789,1
798,3
799,1
800,816
802,5
828,1
829,1
835,7
857,1
877,1
889,3
897,4
900,461
902,12
935,1
949,1
956,1
964,1
971,1
987,5
989,8
996,3
999,1
1000,555
1035,2
1099,1
1100,67
1118,1
1200,65
1216,1
1227,1
1252,1
1263,2
1300,18
1312,1
1320,1
1350,1
1400,7
1452,4
1472,2
1500,7
1522,1
1535,1
1549,1
1563,1
1578,1
1600,3
1602,2
1685,1
1700,1
1800,6
1801,1
1811,3
1900,3
1904,1
1905,1
2000,53
2038,1
2100,4
2136,1
2199,1
2200,4
2300,5
2400,7
2463,1
2500,5
2669,1
2700,5
2800,1
2809,1
3000,6
3100,4
3146,1
3174,1
3198,1
3200,1
3398,1
3400,1
3571,3
3700,1
3741,1
3793,1
3805,1
3968,4
4100,1
4200,1
4500,1
5000,3
5100,2
5200,3
5400,2
5800,2
7000,1
7540,2
7600,1
7700,1
9300,1
12700,1
13200,1
16400,6
18200,1
