quantity,count
1,12
2,6
3,65
4,13
5,350
6,11
7,5
8,20
9,17
10,83
11,11
12,9
13,11
14,5
15,11
16,6
17,1
18,10
19,3
20,44
21,3
22,3
23,1
24,6
25,5
26,5
27,3
28,6
30,68
31,1
32,3
33,4
34,33
35,2
36,9
37,25
38,2
39,1
40,28
41,2
42,1
44,7
45,4
46,6
47,2
48,2
50,38
51,2
53,5
55,3
56,1
58,2
59,1
60,30
66,1
70,25
71,3
72,1
75,1
76,4
78,3
80,2
81,3
86,1
87,1
88,1
89,4
90,5
91,5
92,2
93,3
96,3
97,2
98,18
99,4
100,5117
103,1
104,23
106,2
109,7
111,23
115,1
117,1
126,6
130,1
135,1
137,2
139,1
140,1
142,2
144,1
163,2
176,1
192,1
195,1
196,1
197,4
198,1
200,750
220,1
240,3
300,197
321,1
324,1
397,3
400,9
497,3
500,87
541,1
567,1
600,13
700,70
725,2
749,2
774,1
800,30
1000,2
1100,1
1200,1
1500,1
1800,2
1860,1
2000,1
20000,2
