distance_ticks,count
0,39213
1,22366
2,12908
3,8718
4,5784
5,4273
6,3860
7,3651
8,2979
9,2161
10,1552
11,1423
12,1326
13,1317
14,1882
15,2149
16,2334
17,2009
18,1963
19,1668
20,1533
21,1218
22,1156
23,1031
24,884
25,810
26,786
27,665
28,591
29,517
30,437
31,360
32,310
33,295
34,279
35,253
36,201
37,168
38,147
39,165
40,149
41,155
42,149
43,135
44,127
45,101
46,92
47,88
48,86
49,92
50,122
51,159
52,258
53,367
54,743
55,614
56,317
57,180
58,112
59,94
60,76
61,115
62,132
63,149
64,188
65,254
66,233
67,229
68,152
69,119
70,89
71,59
72,45
73,46
74,26
75,30
76,31
77,41
78,36
79,38
80,25
81,27
82,30
83,25
84,23
85,16
86,23
87,23
88,8
89,14
90,8
91,12
92,20
93,8
94,16
95,12
96,9
97,12
98,9
99,7
100,11
101,16
102,13
103,5
104,7
105,6
106,6
107,5
108,4
109,4
110,8
111,5
112,3
113,4
114,3
115,5
116,1
118,2
119,10
120,6
121,2
122,4
123,2
124,4
125,5
126,1
127,2
128,1
129,3
130,3
131,8
132,5
133,1
134,5
135,3
136,2
137,4
138,1
139,1
140,3
141,4
142,2
143,4
144,1
145,3
146,4
147,1
148,2
149,3
150,3
151,1
152,3
153,7
154,4
155,3
156,5
157,3
158,1
159,1
160,2
161,2
162,2
163,4
164,4
165,8
166,3
167,3
168,3
169,4
170,4
171,1
172,5
173,2
174,4
176,6
177,1
178,4
179,4
180,4
181,2
182,3
183,1
184,5
185,3
186,2
187,1
188,1
189,4
190,1
191,3
193,3
194,1
195,3
196,3
197,4
198,4
199,1
200,3
201,2
202,1
203,2
204,2
205,3
206,3
207,1
208,5
209,1
211,1
212,2
213,3
214,4
215,2
216,3
217,1
219,4
220,1
221,2
222,1
223,1
225,1
227,4
228,2
230,1
232,1
234,2
235,2
236,2
237,2
239,3
240,2
244,1
245,1
246,2
247,1
249,4
250,3
251,13
252,6
253,18
254,21
255,40
256,45
257,70
258,119
259,180
260,292
261,455
262,643
263,842
264,915
265,797
266,797
267,868
268,842
269,832
270,676
271,412
272,182
273,86
274,39
275,13
276,19
277,10
278,10
279,5
280,8
281,3
282,4
283,4
284,2
285,3
286,6
287,3
288,3
289,1
290,4
291,10
292,27
293,70
294,153
295,281
296,479
297,858
298,734
299,685
300,365
301,154
302,77
303,31
304,22
305,8
306,10
307,6
308,2
309,3
310,5
312,4
314,1
315,2
316,2
323,1
324,1
327,1
328,1
329,4
330,4
331,1
333,3
334,9
335,6
336,12
337,18
338,43
339,90
340,146
341,363
342,562
343,562
344,584
345,571
346,486
347,407
348,245
349,306
350,458
351,757
352,999
353,1068
354,877
355,430
356,195
357,85
358,40
359,15
360,18
361,13
362,1
363,4
364,2
365,5
366,1
367,2
368,2
369,2
371,1
372,1
376,1
377,1
382,1
383,1
384,1
386,1
388,1
389,2
390,1
391,1
392,2
394,3
396,2
397,1
401,2
402,1
403,1
404,1
412,3
415,1
416,1
417,1
420,1
424,1
432,3
435,1
437,1
438,2
439,2
440,1
442,2
443,2
444,2
445,6
452,2
453,2
461,1
462,2
464,1
472,1
475,2
476,2
477,1
478,1
479,3
480,1
487,3
489,3
490,3
491,2
492,2
493,2
494,5
495,4
496,2
498,1
499,1
500,2
501,1
502,2
508,2
511,1
519,1
523,1
525,2
528,1
535,2
541,1
546,4
551,1
559,3
564,1
566,1
567,2
577,1
578,3
582,1
585,1
586,1
587,1
589,2
591,3
603,1
606,1
607,1
613,1
617,2
622,3
623,1
626,1
627,2
635,2
641,1
651,1
661,4
662,2
664,1
667,1
669,1
670,2
676,2
678,1
699,1
700,2
701,1
702,1
703,1
707,1
708,1
722,1
729,1
756,1
759,3
770,1
771,1
774,1
775,1
787,4
805,4
807,1
810,1
820,1
822,1
824,2
826,2
845,1
849,1
854,1
864,2
866,4
876,2
878,1
883,1
895,2
898,1
900,2
901,2
902,2
904,4
905,5
906,9
907,9
908,19
909,15
910,28
911,52
912,141
913,232
914,381
915,471
916,486
917,436
918,416
919,296
920,177
921,78
922,27
923,17
924,11
925,8
926,3
927,2
928,3
929,3
930,2
932,1
937,1
949,2
978,1
995,1
1003,1
1014,1
1015,1
1025,1
1050,1
1087,3
1104,1
1122,1
1134,1
1141,1
1176,1
1196,1
1200,1
1287,1
1290,1
1301,1
1309,1
1320,1
1366,1
1392,1
1419,1
1420,1
1445,1
1468,1
1476,1
1489,1
1491,1
1540,1
1568,1
1584,1
1640,1
1676,2
1699,1
1705,1
1712,1
1741,1
1752,27
1772,1
1785,1
1786,1
1790,1
1795,3
1815,1
1818,6
1878,1
1916,1
1977,1
1983,9
2003,27
2035,1
2057,1
2066,1
2156,9
2176,1
2205,1
2215,1
2219,1
2254,9
2258,1
2259,27
2295,1
2317,1
2339,1
2345,1
2346,3
2347,2
2348,1
2349,4
2350,2
2352,1
2353,2
2354,2
2355,1
2356,2
2360,1
2366,1
2370,27
2432,1
2435,3
2438,1
2439,1
2441,1
2442,2
2445,1
2467,1
2488,1
2493,1
2497,34
2521,1
2539,1
2546,9
2630,1
2666,1
2705,2
2770,1
2821,1
2852,1
2866,1
2890,1
2949,1
2955,1
3092,2
3186,1
3304,1
3522,1
3554,1
3559,1
3565,1
3607,1
3726,1
3752,1
3907,1
3971,1
4135,1
4149,1
4319,1
4678,1
4890,1
5933,1
6084,1
6489,1
8974,1
9638,1
