quantity,count
1,127
2,17
3,16
4,25
5,228
6,29
7,3
8,66
9,5
10,91
11,11
12,146
13,22
14,12
15,71
16,22
17,28
18,10
19,16
20,167
21,17
22,62
23,20
24,20
25,24
26,11
27,101
28,10
29,11
30,211
31,4
32,5
33,3
34,3
35,16
36,6
37,2
38,70
39,6
40,70
41,4
42,8
43,2
44,3
45,33
46,7
48,3
49,1
50,47
51,3
52,85
53,50
54,2
55,4
58,3
59,26
60,8
61,1
62,2
64,2
65,2
66,2
67,2
68,1
69,4
70,79
71,1
73,1
74,2
75,4
76,5
77,1
78,1
79,2
80,1
81,1
82,2
83,1
84,31
86,1
87,5
88,1
90,9
91,11
92,1
93,18
94,2
95,14
96,1
97,1
98,1
99,4
100,21153
102,70
113,31
117,2
120,1
121,27
124,1
125,4
130,3
140,1
144,1
146,3
147,2
152,2
155,1
157,1
163,1
170,1
173,4
175,1
176,1
181,1
185,6
186,2
187,1
192,1
200,782
219,1
229,2
250,155
252,1
255,1
258,50
266,1
272,2
276,24
285,52
288,23
300,233
349,1
362,2
400,23
427,1
463,1
500,63
511,1
600,43
700,57
800,1
1200,2
1400,1
3600,2
50000,10
