quantity,count
1,3138
2,998
3,911
4,743
5,558
6,189
7,169
8,190
9,148
10,674
11,83
12,118
13,78
14,92
15,219
16,68
17,66
18,85
19,98
20,359
21,62
22,70
23,48
24,56
25,310
26,57
27,74
28,61
29,62
30,183
31,43
32,43
33,69
34,35
35,61
36,41
37,37
38,70
39,97
40,115
41,43
42,40
43,26
44,40
45,60
46,39
47,48
48,65
49,52
50,386
51,56
52,34
53,24
54,24
55,42
56,35
57,16
58,24
59,37
60,77
61,16
62,34
63,28
64,21
65,32
66,24
67,27
68,18
69,26
70,53
71,34
72,42
73,34
74,30
75,263
76,17
77,21
78,29
79,29
80,66
81,36
82,34
83,25
84,26
85,28
86,19
87,19
88,26
89,24
90,45
91,23
92,34
93,24
94,33
95,49
96,78
97,78
98,57
99,88
100,2755
101,3
102,1
103,7
104,3
105,4
106,3
107,1
108,8
109,4
110,5
111,4
112,3
113,3
114,1
115,4
116,2
117,2
118,2
119,3
120,4
121,3
122,1
123,3
124,2
125,7
126,2
128,2
129,1
130,4
131,2
132,2
133,3
134,1
135,1
136,3
137,2
138,1
139,1
140,3
141,4
142,3
143,2
145,2
146,2
147,4
148,3
149,3
150,49
152,2
153,1
154,1
155,7
157,1
158,1
159,1
160,3
161,1
162,2
163,1
165,3
166,2
167,2
169,1
170,4
171,4
173,1
174,2
175,2
176,2
177,1
178,1
179,2
180,3
181,2
182,2
184,2
185,1
186,2
188,2
189,1
190,5
191,3
193,1
194,2
195,3
196,4
197,1
198,1
199,4
200,130
204,1
206,1
208,1
209,1
210,3
211,1
215,1
217,1
220,2
224,2
225,6
229,1
230,2
232,1
235,1
238,1
242,2
249,1
250,5
254,1
257,1
260,1
263,1
267,1
268,2
274,1
276,1
279,1
280,1
281,1
282,1
288,1
290,1
291,1
299,2
300,23
304,1
307,1
311,2
318,1
330,1
334,1
339,1
340,1
343,1
345,1
350,2
360,2
364,1
366,1
370,1
375,1
382,1
388,1
392,1
394,1
400,7
410,1
411,1
427,1
430,1
431,1
446,1
453,1
463,1
466,1
487,1
492,1
498,1
499,2
500,10
529,1
542,1
555,1
575,1
585,2
600,1
607,1
614,1
630,1
659,1
663,1
694,1
700,2
749,1
771,1
800,1
840,1
851,1
892,1
896,1
900,1
928,1
935,1
972,1
985,1
1000,2
1130,1
1160,1
1300,2
1837,1
1925,1
1938,1
