quantity,count
1,557
2,174
3,119
4,122
5,215
6,83
7,93
8,71
9,74
10,187
11,68
12,58
13,63
14,70
15,114
16,95
17,61
18,72
19,37
20,163
21,67
22,53
23,49
24,61
25,51
26,74
27,53
28,51
29,46
30,86
31,37
32,55
33,51
34,55
35,33
36,59
37,154
38,28
39,41
40,62
41,42
42,26
43,29
44,32
45,28
46,44
47,31
48,48
49,47
50,131
51,32
52,43
53,27
54,25
55,29
56,25
57,23
58,25
59,37
60,43
61,33
62,28
63,59
64,38
65,22
66,28
67,45
68,31
69,23
70,38
71,28
72,30
73,32
74,69
75,28
76,34
77,29
78,25
79,32
80,48
81,23
82,28
83,24
84,33
85,23
86,26
87,20
88,24
89,39
90,58
91,31
92,20
93,35
94,33
95,42
96,31
97,32
98,48
99,96
100,4739
101,8
102,4
103,2
104,5
105,1
106,3
107,6
109,5
110,9
111,2
113,1
114,3
115,2
116,2
117,2
118,4
119,3
120,2
121,2
122,2
123,1
125,1
126,8
128,2
130,2
131,3
132,7
133,5
135,2
136,5
137,2
138,1
139,2
140,5
141,3
143,1
145,1
146,1
147,1
148,1
150,5
151,1
152,1
153,3
157,3
158,1
159,3
160,1
161,1
163,5
164,1
166,1
167,2
168,2
169,2
170,1
171,1
173,2
174,2
175,1
176,2
177,2
178,1
179,3
180,2
181,2
182,2
183,3
184,1
186,3
187,1
188,3
190,7
191,2
192,2
193,2
195,3
197,1
198,3
200,232
201,2
202,1
204,1
211,1
213,1
219,1
229,1
232,1
236,1
238,1
242,1
247,1
248,1
250,2
255,1
256,1
259,1
261,1
266,1
267,1
270,1
273,1
275,1
277,1
280,1
285,1
290,2
291,1
299,1
300,45
312,1
314,1
318,1
319,2
350,1
366,1
370,1
372,1
380,1
383,1
395,2
396,1
400,15
414,1
448,1
464,1
500,8
588,1
599,1
600,1
612,1
621,1
706,1
796,1
833,1
852,1
900,1
1100,1
1488,1
2052,1
2287,1
3408,1
