quantity,count
1,1334
2,484
3,224
4,97
5,183
6,127
7,67
8,63
9,60
10,310
11,47
12,46
13,50
14,75
15,368
16,67
17,55
18,95
19,53
20,254
21,68
22,40
23,64
24,84
25,62
26,94
27,181
28,99
29,120
30,1780
31,17
32,16
33,17
34,31
35,90
36,53
37,15
38,29
39,27
40,59
41,120
42,26
43,14
44,14
45,6
46,30
47,17
48,19
49,16
50,70
51,32
52,47
53,25
54,41
55,69
56,59
57,20
58,30
59,26
60,53
61,29
62,28
63,18
64,39
65,49
66,26
67,26
68,33
69,23
70,122
71,17
72,27
73,13
74,19
75,20
76,25
77,18
78,25
79,11
80,95
81,11
82,17
83,21
84,22
85,13
86,7
87,15
88,19
89,12
90,29
91,12
92,153
93,24
94,12
95,11
96,9
97,15
98,13
99,52
100,43684
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,1
109,24
112,1
113,1
114,1
115,2
118,1
120,4
121,1
122,8
125,1
126,1
130,4
133,2
135,1
139,2
140,5
141,1
142,1
144,1
145,1
147,100
148,3
149,1
150,4
152,4
153,3
154,3
155,102
156,86
158,2
159,1
160,1
163,2
165,1
166,1
172,3
173,1
174,2
176,7
180,1
182,1
183,1
185,3
186,2
187,1
188,2
189,1
190,1
191,2
192,1
195,3
196,3
199,1
200,6142
201,4
206,1
213,1
232,8
235,2
239,2
245,1
246,1
250,5
257,1
258,1
262,2
264,2
266,1
272,2
274,1
275,1
278,1
286,1
300,2771
306,1
315,1
318,1
320,2
328,1
330,1
340,2
344,1
352,2
354,1
364,1
366,26
370,1
385,1
400,826
402,1
440,1
441,51
457,1
487,2
493,1
494,1
497,1
500,346
508,1
520,1
530,1
536,111
538,19
564,96
576,1
600,170
603,46
605,4
612,48
619,39
700,131
724,1
737,1
747,1
750,1
783,1
787,1
788,1
800,18
802,2
842,2
900,6
1000,74
1004,1
1025,1
1050,1
1100,3
1137,1
1200,2
1250,2
1300,2
1317,1
1400,1
1412,4
1469,1
1500,11
1525,1
1567,2
1600,3
1800,2
2000,39
2022,1
2055,2
2100,1
2200,1
2300,1
2400,4
2500,3
2600,2
2700,1
2727,2
2800,4
2900,5
3000,6
3033,1
3100,4
3200,1
3400,3
3600,1
4000,9
4200,1
4300,1
4379,1
4700,1
4900,1
5000,6
6000,1
8074,1
12000,1
24650,1
