distance_ticks,count
0,4297
1,3748
2,948
3,455
4,311
5,282
6,191
7,237
8,144
9,103
10,126
11,104
12,114
13,107
14,107
15,104
16,86
17,73
18,85
19,46
20,42
21,48
22,36
23,52
24,30
25,34
26,32
27,29
28,34
29,24
30,17
31,24
32,24
33,28
34,20
35,30
36,32
37,48
38,24
39,31
40,23
41,20
42,18
43,26
44,25
45,16
46,21
47,31
48,22
49,15
50,23
51,23
52,24
53,19
54,23
55,31
56,20
57,10
58,12
59,13
60,7
61,9
62,5
63,8
64,9
65,21
66,9
67,13
68,8
69,12
70,6
71,16
72,6
73,12
74,20
75,11
76,13
77,11
78,13
79,23
80,16
81,36
82,97
83,166
84,152
85,83
86,14
87,17
88,6
89,6
90,5
91,12
92,16
93,20
94,22
95,14
96,14
97,14
98,13
99,20
100,16
101,13
102,16
103,20
104,17
105,18
106,30
107,29
108,35
109,58
110,93
111,154
112,121
113,100
114,73
115,90
116,84
117,63
118,49
119,39
120,35
121,51
122,48
123,57
124,55
125,52
126,60
127,69
128,17
129,17
130,19
131,15
132,10
133,10
134,13
135,16
136,11
137,5
138,19
139,17
140,14
141,14
142,16
143,15
144,7
145,11
146,6
147,2
148,7
149,32
150,14
151,50
152,47
153,94
154,184
155,180
156,194
157,119
158,79
159,31
160,18
161,4
162,2
163,6
164,1
165,2
167,1
168,1
170,2
171,1
173,4
174,4
175,6
177,1
178,1
181,4
183,1
187,2
191,1
192,2
193,2
194,2
197,2
199,2
202,4
205,1
213,1
217,1
218,2
220,1
224,4
225,1
226,2
227,3
228,1
229,1
232,2
233,1
235,3
236,1
237,3
238,1
240,4
241,1
242,1
243,1
246,3
247,1
248,1
249,1
250,2
253,2
256,1
258,1
259,2
260,2
262,5
268,1
269,1
270,1
271,1
272,2
276,2
280,1
281,1
283,3
284,5
286,1
290,4
291,1
292,1
296,4
297,1
298,1
299,3
301,3
303,1
304,2
305,5
306,1
307,1
309,2
310,3
311,2
312,6
313,2
325,1
329,1
330,1
331,19
332,2
333,1
334,1
335,1
336,1
337,3
338,6
341,4
346,1
348,1
349,1
350,2
351,1
353,1
354,1
357,15
358,3
359,1
360,1
361,1
362,1
364,1
365,3
366,4
367,1
368,3
369,3
370,5
371,5
372,4
373,8
374,3
375,5
376,6
377,7
378,6
379,9
380,9
381,14
382,13
383,15
384,25
385,30
386,54
387,67
388,114
389,149
390,151
391,122
392,65
393,37
394,26
395,15
396,13
397,13
398,11
399,8
400,15
401,5
402,3
403,5
404,4
405,3
406,1
407,5
409,1
410,2
411,3
412,2
413,5
415,3
416,2
417,2
418,2
419,1
424,2
425,6
428,1
431,1
436,1
438,1
440,1
446,2
447,1
456,4
462,1
473,1
478,1
480,2
481,1
485,1
486,3
489,3
490,1
508,3
512,3
515,1
522,1
529,1
530,3
532,1
552,1
554,1
559,1
566,2
567,1
582,1
603,1
608,1
610,1
624,1
625,2
633,1
636,1
650,1
675,1
676,3
681,1
688,1
697,1
698,1
699,1
707,1
716,1
720,1
721,1
743,1
766,1
769,2
775,1
780,1
785,1
791,1
815,1
817,3
839,3
841,1
854,5
899,3
925,1
959,3
973,2
981,3
992,1
993,1
1000,2
1002,1
1005,1
1044,1
1090,18
1091,6
1094,5
1097,1
1099,1
1104,2
1120,3
1121,1
1175,1
1180,17
1200,7
1202,1
1222,17
1224,2
1226,3
1227,7
1237,16
1265,1
1285,2
1297,1
1308,1
1319,1
1336,1
1542,17
1545,17
1666,2
1688,3
1807,1
1829,1
2749,1
3314,1
3611,1
5241,1
