quantity,count
1,401
2,78
3,62
4,45
5,68
6,31
7,27
8,21
9,20
10,61
11,20
12,14
13,16
14,24
15,33
16,34
17,19
18,25
19,15
20,33
21,17
22,14
23,18
24,16
25,20
26,13
27,24
28,18
29,10
30,20
31,15
32,23
33,23
34,17
35,16
36,17
37,17
38,11
39,10
40,24
41,20
42,10
43,15
44,18
45,24
46,10
47,12
48,12
49,13
50,55
51,15
52,14
53,16
54,7
55,17
56,13
57,5
58,9
59,9
60,15
61,9
62,7
63,7
64,16
65,12
66,15
67,14
68,20
69,11
70,16
71,10
72,10
73,6
74,16
75,14
76,15
77,10
78,12
79,11
80,17
81,9
82,13
83,7
84,23
85,16
86,10
87,9
88,17
89,16
90,23
91,12
92,8
93,17
94,16
95,25
96,17
97,15
98,25
99,41
100,3337
101,5
102,4
103,5
104,7
105,6
106,2
108,2
109,6
110,7
111,8
113,3
114,5
115,6
116,9
117,6
119,4
120,5
121,3
122,4
123,1
124,3
125,4
126,2
127,1
128,1
129,3
130,3
131,2
132,3
133,4
135,2
137,3
138,3
139,1
140,2
141,2
142,2
143,1
144,3
146,1
147,3
148,7
149,1
150,9
151,3
152,5
154,4
156,2
157,1
158,4
159,6
162,1
163,2
164,1
165,2
166,3
167,5
168,3
170,1
171,3
172,2
173,3
174,1
175,2
176,1
179,1
180,2
181,3
184,9
185,2
186,1
187,10
188,2
189,5
190,2
191,2
192,2
194,3
195,2
196,4
197,6
198,4
199,11
200,527
201,3
202,2
204,1
205,1
207,2
209,1
210,3
212,1
213,2
214,1
215,1
216,2
217,1
218,1
220,4
221,1
222,1
225,1
226,2
227,3
230,1
232,1
233,7
235,1
236,2
239,1
241,3
242,1
245,1
246,1
248,2
249,2
250,10
251,2
257,1
261,1
264,2
266,1
268,1
269,1
270,1
271,2
272,2
274,1
275,1
276,1
277,2
278,1
279,1
280,1
284,2
285,2
286,2
287,1
289,1
290,1
291,3
292,1
293,1
294,2
295,1
297,1
298,2
299,4
300,211
301,3
302,5
303,2
306,1
307,1
310,1
314,1
315,1
323,1
324,1
326,1
330,1
331,1
332,1
333,1
334,1
336,1
339,1
340,1
347,1
348,1
350,1
352,1
355,1
357,1
360,1
365,1
367,2
369,2
371,1
373,1
377,1
380,1
384,1
386,1
387,1
393,2
394,1
397,3
399,1
400,153
401,1
402,1
406,1
410,2
415,1
416,2
419,1
430,1
432,2
433,2
437,1
439,1
441,2
442,1
448,2
449,1
453,1
456,1
460,1
463,2
464,1
466,1
470,1
471,1
473,1
477,1
493,1
495,3
497,1
500,96
507,1
517,1
520,1
526,1
527,2
528,2
533,1
537,1
543,1
544,1
552,1
553,1
555,1
558,1
559,2
577,1
589,1
590,2
591,1
600,51
640,1
641,1
672,1
690,1
692,1
694,1
696,1
699,1
700,27
703,1
710,1
776,1
798,1
800,15
821,1
827,1
841,1
862,1
881,1
896,1
900,14
909,1
925,1
944,1
981,1
1000,32
1046,1
1100,3
1110,1
1140,1
1174,5
1200,3
1223,1
1267,1
1300,5
1378,1
1400,1
1500,4
1600,1
1641,1
1682,1
1792,1
1900,1
1906,1
1992,1
2000,1
2058,1
2088,1
2100,1
2186,1
2235,1
2240,1
2300,1
2370,1
2400,3
2500,1
2555,1
2700,1
3000,1
3100,1
3293,1
3499,1
4500,1
4603,1
4700,1
4762,1
5000,2
6000,1
6200,1
6542,1
17193,1
