quantity,count
1,550
2,246
3,74
4,155
5,122
6,52
7,45
8,66
9,157
10,1115
11,144
12,92
13,102
14,94
15,81
16,74
17,33
18,26
19,69
20,297
21,39
22,30
23,32
24,45
25,90
26,120
27,84
28,198
29,57
30,81
31,44
32,53
33,62
34,202
35,92
36,265
37,196
38,295
39,159
40,207
41,186
42,286
43,125
44,146
45,72
46,81
47,69
48,53
49,40
50,328
51,42
52,44
53,40
54,144
55,142
56,37
57,47
58,19
59,26
60,191
61,77
62,46
63,24
64,53
65,29
66,83
67,123
68,40
69,46
70,136
71,33
72,64
73,15
74,539
75,38
76,36
77,105
78,28
79,11
80,24
81,160
82,15
83,36
84,38
85,70
86,14
87,53
88,47
89,183
90,45
91,6
92,7
93,27
94,21
95,18
96,36
97,23
98,31
99,71
100,205521
101,18
102,21
103,4
104,16
105,7
106,7
107,13
108,4
109,16
110,8
111,14
112,7
113,5
114,1
115,8
116,6
117,5
118,8
119,4
120,5
121,1
122,4
123,7
124,4
125,6
126,9
127,1
128,13
129,14
130,11
131,10
132,8
133,1
134,8
135,3
136,1
137,2
138,7
139,8
140,8
141,8
142,6
143,8
144,3
145,6
146,5
147,5
148,3
149,6
150,10
151,8
152,8
153,8
154,4
155,14
156,3
157,3
158,15
159,4
160,28
161,10
162,7
163,9
164,5
165,3
166,8
167,9
168,4
169,4
170,5
171,3
172,6
173,6
174,7
175,4
176,8
177,11
178,4
179,9
180,2
181,7
182,2
183,7
184,3
185,13
186,8
187,3
188,10
189,1
190,2
191,7
192,5
193,7
194,5
195,8
196,8
197,5
198,7
199,11
200,14396
201,4
202,3
203,2
204,1
205,6
207,3
208,3
209,4
210,4
211,4
212,4
213,2
214,10
215,4
217,1
218,1
219,5
220,6
222,2
223,3
224,8
225,6
226,1
227,3
228,1
229,4
230,1
232,2
233,10
235,4
237,1
238,4
240,2
241,2
242,1
243,4
244,1
246,1
249,1
250,1
251,1
252,2
253,4
254,2
255,2
256,1
258,1
259,1
260,1
263,1
264,3
265,2
266,1
267,2
270,1
271,1
272,1
273,1
275,2
276,4
277,1
279,1
280,1
282,1
283,2
285,2
286,4
287,1
290,3
293,2
294,2
295,4
296,2
298,2
300,2661
302,1
304,1
305,2
306,9
307,1
309,1
310,78
311,1
312,6
313,12
314,7
316,6
319,1
320,32
322,4
323,1
324,2
325,1
328,8
329,2
330,48
331,1
332,3
334,1
335,4
338,1
339,4
340,66
343,16
344,3
346,7
348,16
350,26
354,57
355,16
358,2
360,72
364,4
366,1
368,1
370,45
371,3
374,5
376,11
377,4
378,1
379,5
380,35
383,1
385,2
387,1
389,11
390,88
391,5
394,6
395,8
396,9
399,1
400,1976
401,2
402,1
405,1
408,2
410,62
412,6
414,1
417,30
420,55
425,22
426,23
427,3
428,5
430,61
432,4
434,3
439,2
440,41
443,20
444,1
446,1
447,3
448,7
450,90
452,15
454,1
455,1
456,7
458,3
460,46
462,1
463,14
465,1
467,25
469,9
470,75
471,1
473,1
475,12
477,30
480,37
481,1
482,8
485,9
486,1
487,1
488,1
490,79
493,1
494,4
495,14
496,6
498,4
499,1
500,754
508,1
521,1
524,1
540,8
552,1
561,2
567,1
587,1
600,244
603,1
622,24
623,122
624,215
625,178
626,111
627,281
628,177
629,171
630,123
631,87
632,146
633,103
634,28
635,93
636,127
637,77
638,7
642,1
674,1
683,1
693,16
698,1
700,324
706,1
707,1
796,1
798,9
799,1
800,150
823,1
833,1
852,1
875,1
877,5
890,1
898,8
900,74
947,1
979,1
1000,264
1007,1
1074,1
1077,1
1100,422
1200,48
1244,1
1248,1
1255,1
1270,1
1282,1
1300,1
1306,1
1308,1
1382,1
1400,1
1449,1
1455,1
1478,1
1561,1
1600,13
1700,15
1855,1
1900,8
2000,50
2001,1
2100,15
2200,1
3000,1
3500,1
4400,1
5000,1
5600,1
10000,2
