quantity,count
1,691
2,327
3,98
4,144
5,207
6,142
7,120
8,77
9,82
10,1110
11,122
12,163
13,123
14,144
15,140
16,69
17,86
18,56
19,60
20,137
21,50
22,57
23,24
24,81
25,113
26,139
27,129
28,143
29,76
30,85
31,61
32,101
33,76
34,134
35,155
36,120
37,216
38,347
39,164
40,129
41,159
42,213
43,173
44,172
45,85
46,103
47,95
48,59
49,24
50,450
51,87
52,52
53,38
54,30
55,35
56,31
57,65
58,42
59,52
60,128
61,59
62,63
63,77
64,34
65,69
66,41
67,27
68,52
69,77
70,64
71,18
72,46
73,31
74,18
75,42
76,37
77,115
78,35
79,32
80,73
81,20
82,49
83,37
84,27
85,56
86,26
87,27
88,14
89,116
90,26
91,21
92,18
93,10
94,33
95,31
96,19
97,18
98,28
99,59
100,228502
101,10
102,15
103,10
104,20
105,5
106,15
107,11
108,11
109,8
110,18
111,6
112,6
113,5
114,11
115,15
116,6
117,9
118,7
119,14
120,18
121,6
122,11
123,10
124,18
125,13
126,10
127,9
128,7
129,7
130,11
131,10
132,8
133,9
134,3
135,26
136,8
137,4
138,9
139,2
140,3
141,24
142,7
143,6
144,7
145,7
146,9
147,6
148,6
149,4
150,35
151,4
152,5
153,6
154,10
155,23
156,8
157,8
158,15
159,8
160,3
161,8
162,9
163,11
164,12
165,7
166,8
167,6
168,2
169,3
170,7
171,5
172,6
173,5
174,5
175,7
176,4
177,4
178,3
179,8
180,9
181,8
182,12
183,7
184,4
185,7
186,1
187,6
188,8
189,5
190,7
191,3
192,23
193,4
194,7
195,12
196,7
197,4
198,8
199,4
200,12532
201,2
202,2
203,3
204,3
205,5
206,5
207,9
208,3
209,2
210,8
211,9
212,9
213,2
214,2
215,2
216,4
217,1
218,28
219,12
220,2
221,2
222,3
223,4
224,3
225,8
226,2
227,4
228,1
229,5
230,5
233,1
234,4
235,1
236,1
237,1
238,1
241,2
242,1
243,1
245,1
246,1
247,5
248,4
249,2
250,14
251,2
252,3
254,6
255,16
256,5
258,1
259,1
260,2
262,2
263,1
264,2
265,1
267,2
269,1
274,1
276,4
280,2
282,1
283,1
285,1
289,1
290,1
294,4
296,7
298,3
299,8
300,2999
301,2
303,1
304,2
305,2
306,6
309,3
310,6
311,1
312,2
313,1
314,1
315,2
318,26
325,1
330,2
334,3
336,2
339,1
340,1
341,1
345,3
346,1
350,8
354,2
355,1
356,1
360,1
361,1
362,2
368,1
369,2
374,3
376,2
379,1
385,4
395,7
396,17
399,2
400,2819
403,1
405,1
406,1
410,1
424,1
427,2
432,3
441,2
444,2
450,4
455,2
456,1
460,2
479,1
490,1
491,4
496,3
500,1032
504,1
505,2
523,2
524,1
531,3
533,2
540,1
544,1
546,60
547,135
548,194
549,323
550,138
551,192
552,86
553,162
554,401
555,181
556,56
581,4
585,2
588,1
590,1
597,2
600,300
607,2
608,1
609,18
610,28
611,32
612,29
613,31
614,18
615,38
616,67
617,70
618,238
619,286
620,90
621,14
622,1
623,5
627,1
628,3
674,1
696,2
700,352
708,2
709,2
726,1
742,1
770,1
780,1
795,1
800,142
850,2
875,1
900,93
950,2
991,1
1000,204
1020,1
1024,1
1048,2
1100,29
1131,1
1193,1
1200,9
1253,1
1256,1
1262,1
1300,4
1324,1
1400,9
1411,1
1414,3
1430,2
1500,12
1503,1
1547,1
1560,2
1562,1
1600,21
1636,1
1646,1
1669,1
1677,1
1700,17
1717,1
1724,1
1761,1
1800,11
1811,1
1828,1
1836,1
1900,12
1907,1
1913,1
1928,1
2000,53
2062,1
2076,1
2100,14
2136,1
2201,1
2274,1
2289,1
2300,2
2301,1
2400,5
2401,2
2415,1
2457,1
2500,9
2600,1
2800,1
2847,1
2900,2
3000,1
3200,1
3300,5
3400,2
3500,3
3600,1
3800,2
3900,2
4000,2
4300,1
4400,1
4584,1
4650,3
4900,1
5000,2
5067,1
5200,1
5310,1
5700,1
6000,3
6523,1
7371,1
7500,1
10000,2
12100,1
52304,1
65000,1
