distance_ticks,count
0,16239
1,4260
2,1729
3,1352
4,1014
5,478
6,425
7,484
8,617
9,378
10,266
11,245
12,183
13,150
14,152
15,552
16,697
17,751
18,318
19,291
20,98
21,74
22,137
23,157
24,150
25,163
26,65
27,15
28,11
29,13
30,8
31,6
32,12
33,10
34,8
35,8
36,6
37,6
38,10
39,5
40,5
41,8
42,5
43,7
44,15
45,14
46,3
48,7
49,3
50,6
51,2
52,2
53,5
54,5
55,1
56,1
57,2
58,3
59,4
60,5
61,1
62,4
63,6
64,6
65,13
66,12
67,19
68,38
69,52
70,71
71,233
72,556
73,349
74,184
75,204
76,391
77,297
78,296
79,271
80,377
81,261
82,50
83,6
84,1
85,2
86,1
89,1
90,3
91,1
92,1
93,3
94,3
95,8
96,6
97,3
98,2
100,5
101,5
102,1
103,2
104,5
105,5
106,3
107,2
108,4
109,2
110,2
111,1
112,3
113,2
114,2
115,2
116,3
117,3
118,1
123,1
124,1
125,2
126,1
128,1
129,4
130,1
131,3
132,1
134,1
135,1
136,1
137,2
140,3
141,2
142,2
144,1
145,1
148,1
149,2
150,1
151,1
152,2
154,1
156,2
158,1
160,1
161,1
163,3
165,2
166,3
167,5
169,9
175,3
176,6
177,7
178,3
179,3
180,3
182,3
184,3
185,1
186,2
187,3
189,3
194,1
196,1
199,2
201,2
202,2
204,3
207,1
209,3
211,1
212,6
213,3
214,4
215,8
216,8
217,72
218,209
219,240
220,128
221,29
222,2
223,1
235,2
241,3
245,1
249,1
250,1
251,3
252,4
253,4
256,3
257,3
258,1
263,3
267,3
276,1
281,1
283,1
284,1
292,3
293,1
298,1
302,1
306,1
311,1
315,1
316,2
318,1
324,1
325,1
326,1
327,1
328,1
333,2
334,2
336,1
337,1
341,1
343,1
346,1
354,1
364,1
378,1
397,1
403,1
408,1
409,1
412,2
416,1
445,1
446,1
452,2
453,1
454,1
458,1
461,1
462,1
466,1
475,1
478,1
479,1
480,1
492,1
512,1
516,2
523,2
535,1
547,1
553,1
570,2
583,3
584,1
590,1
600,1
601,2
602,1
606,1
616,1
625,3
626,1
631,3
633,3
643,3
650,3
656,4
658,2
660,2
666,12
667,3
669,15
673,17
676,1
700,23
701,1
707,23
709,1
715,23
719,3
728,4
729,16
730,4
735,3
738,2
746,18
749,1
750,2
794,1
799,2
809,1
814,18
815,4
859,1
880,1
984,1
998,1
1224,1
