quantity,count
1,906
2,159
3,69
4,111
5,162
6,37
7,105
8,64
9,72
10,283
11,18
12,30
13,19
14,23
15,202
16,74
17,32
18,34
19,38
20,181
21,73
22,53
23,27
24,41
25,23
26,27
27,35
28,65
29,70
30,1298
31,14
32,7
33,18
34,9
35,7
36,38
37,4
38,13
39,6
40,17
41,17
42,11
43,2
44,9
45,6
46,29
47,7
48,7
49,18
50,69
51,4
52,7
53,4
54,11
55,9
56,10
57,6
58,16
59,19
60,39
61,22
62,18
63,10
64,19
65,15
66,12
67,19
68,16
69,16
70,28
71,8
72,7
73,4
74,3
75,4
76,1
77,30
78,7
79,4
80,29
81,14
82,4
83,11
84,9
85,7
86,5
87,8
88,43
89,3
90,13
91,8
92,4
93,2
94,6
95,2
96,9
97,7
98,15
99,10
100,27739
106,2
107,2
108,1
109,1
111,1
112,3
113,1
114,1
115,1
117,3
119,2
120,1
121,14
122,2
125,2
127,1
128,2
129,1
130,5
131,1
133,1
134,2
135,2
137,1
138,1
139,1
140,3
143,2
145,1
146,1
148,1
150,14
152,2
154,8
156,23
159,2
160,6
162,44
164,1
166,1
167,1
172,2
173,63
174,1
175,1
176,1
180,1
182,1
183,1
186,1
188,3
190,3
194,1
195,3
196,3
198,1
200,1796
204,1
206,1
207,2
223,1
227,59
239,1
241,28
249,42
250,1
258,1
264,1
265,5
266,6
267,1
271,1
275,1
278,2
289,34
300,833
325,1
329,31
330,8
344,1
381,5
387,3
400,166
450,1
500,77
540,1
552,1
600,21
700,86
788,2
800,42
900,11
1000,57
1100,1
1200,2
1300,3
1400,7
1500,1
1600,6
1800,2
1900,2
2000,21
2100,2
2200,1
2300,1
2600,1
2763,1
2800,1
3000,1
3081,1
3500,1
5000,2
5600,1
15000,1
