quantity,count
1,2574
2,774
3,152
4,157
5,392
6,108
7,127
8,941
9,83
10,1561
11,49
12,26
13,69
14,156
15,287
16,43
17,37
18,95
19,250
20,511
21,72
22,44
23,36
24,62
25,72
26,41
27,50
28,75
29,60
30,919
31,51
32,35
33,31
34,21
35,35
36,8
37,9
38,28
39,12
40,161
41,15
42,24
43,16
44,15
45,28
46,21
47,7
48,30
49,24
50,170
51,18
52,8
53,10
54,44
55,9
56,7
57,14
58,30
59,16
60,79
61,32
62,16
63,5
64,1
65,11
66,14
67,5
68,3
69,11
70,43
71,5
72,28
73,6
74,5
75,10
76,4
77,33
78,12
79,5
80,32
81,33
82,11
83,5
84,10
85,104
86,3
87,11
88,4
89,9
90,43
91,11
92,42
93,5
94,8
95,77
96,7
97,5
98,14
99,28
100,35245
101,5
102,2
103,3
104,2
105,5
106,8
107,1
108,4
109,2
110,4
111,2
112,1
113,4
114,2
115,8
116,4
117,4
118,8
119,2
120,3
121,5
122,4
123,6
124,2
125,2
126,3
127,5
128,3
129,1
130,6
131,5
132,8
133,5
134,3
135,3
136,4
137,2
138,2
140,25
143,1
144,19
146,1
150,1
151,1
152,17
155,138
157,1
160,5
161,6
166,3
167,1
170,1
177,127
179,1
180,15
181,2
183,6
195,7
198,2
200,1534
210,4
216,1
226,1
236,1
240,6
250,3
290,1
298,1
300,568
352,2
360,5
400,65
447,3
480,3
500,67
600,18
700,94
824,1
900,1
950,1
1000,16
2000,44
10000,2
