distance_ticks,count
0,1453
1,164
2,68
3,74
4,37
5,34
6,28
7,27
8,16
9,10
10,10
11,11
12,6
13,11
14,16
15,24
16,31
17,28
18,45
19,44
20,21
21,18
22,17
23,9
24,16
25,21
26,18
27,10
28,19
29,23
30,16
31,9
32,5
33,14
34,12
35,33
36,17
37,36
38,33
39,7
40,5
41,4
42,6
43,4
44,11
46,7
47,9
48,15
49,5
50,7
51,4
52,3
53,4
54,1
55,6
56,1
57,1
58,4
59,2
60,4
61,3
62,3
63,5
64,2
65,7
66,5
67,3
68,9
69,4
70,10
71,8
72,8
73,13
74,27
75,52
76,77
77,72
78,110
79,75
80,45
81,47
82,69
83,52
84,57
85,29
86,25
87,29
88,26
89,12
90,6
91,9
92,20
93,12
94,9
95,35
96,21
97,24
98,54
99,11
100,2
102,1
103,1
104,1
105,1
107,6
108,1
109,1
111,4
112,1
113,2
114,3
115,1
117,1
118,1
120,2
121,1
122,1
126,1
129,3
131,1
132,2
135,2
138,1
140,3
141,2
142,2
143,1
144,2
147,1
148,3
150,4
151,4
152,2
153,3
154,2
155,2
156,1
158,1
159,1
161,8
162,5
163,3
164,1
165,1
166,3
167,2
168,7
169,3
170,1
171,1
172,1
173,6
174,7
175,13
176,7
177,17
178,48
179,59
180,14
181,10
182,14
183,6
184,2
186,8
187,4
188,4
190,1
192,1
193,3
194,1
195,1
200,3
202,2
205,2
206,3
207,1
211,6
213,2
215,1
216,4
217,1
222,1
223,1
225,1
228,1
229,5
230,1
231,1
233,1
234,3
236,1
238,1
239,4
240,1
242,3
245,1
250,2
257,2
261,2
262,3
265,1
268,1
269,3
271,4
277,4
278,3
282,2
283,1
284,1
285,3
286,1
288,1
290,2
291,1
292,2
295,1
304,1
306,1
309,1
310,2
311,1
314,1
316,1
317,8
332,2
336,1
339,2
345,1
348,1
350,4
352,1
356,2
357,2
359,1
360,1
361,2
363,1
367,1
368,1
370,1
371,1
379,1
380,1
383,1
386,1
400,1
402,1
411,1
433,1
438,1
440,1
446,1
449,1
450,3
455,1
457,1
467,1
468,1
480,1
483,7
484,3
485,1
486,3
489,3
491,1
492,1
496,1
498,1
501,2
502,1
513,1
517,2
521,1
523,1
525,1
544,1
545,1
550,3
559,1
579,1
583,1
584,1
586,3
590,1
597,3
598,1
599,1
606,2
607,1
611,3
623,1
625,1
626,1
627,3
634,1
639,1
641,1
645,1
650,3
653,3
654,1
660,18
664,1
668,18
670,3
673,1
674,2
682,1
686,4
690,1
691,3
692,1
703,1
705,18
711,2
712,4
713,1
718,1
719,8
720,3
721,1
722,18
725,2
727,1
730,12
731,6
734,1
743,1
746,1
750,35
751,18
753,1
757,1
759,1
761,2
770,1
771,1
777,17
782,1
786,3
790,10
796,1
798,6
815,6
816,2
817,3
821,1
822,2
823,3
824,1
829,1
830,1
831,2
835,7
850,1
855,1
882,1
886,1
891,1
939,2
944,6
945,2
950,1
952,1
956,1
957,1
959,1
962,1
974,2
982,1
984,1
986,2
1005,2
1063,2
1105,1
1111,1
1128,1
1182,1
1190,1
1211,1
1225,1
1317,1
1450,1
1617,1
2308,1
19997403,1
