distance_ticks,count
0,22808
1,6990
2,2089
3,1693
4,1715
5,1339
6,959
7,720
8,631
9,601
10,424
11,293
12,197
13,144
14,102
15,77
16,101
17,120
18,140
19,79
20,47
21,41
22,55
23,36
24,40
25,52
26,36
27,24
28,53
29,40
30,19
31,20
32,32
33,29
34,28
35,20
36,28
37,92
38,266
39,219
40,97
41,195
42,454
43,152
44,37
45,12
46,7
47,14
48,11
49,13
50,18
51,20
52,31
53,57
54,205
55,633
56,334
57,66
58,8
59,4
60,5
61,5
62,8
63,9
64,7
65,5
66,5
67,1
68,4
69,6
70,5
71,6
72,4
73,4
74,8
75,5
76,5
77,8
78,14
79,19
80,34
81,41
82,64
83,122
84,247
85,535
86,451
87,187
88,54
89,31
90,18
91,7
92,5
93,1
94,6
95,5
96,4
97,3
98,7
99,5
102,2
104,7
108,1
110,1
111,5
112,5
113,3
114,4
115,3
116,9
117,4
118,4
119,2
120,2
121,6
122,10
123,86
124,220
125,278
126,328
127,124
128,14
129,10
130,4
131,1
134,1
137,3
138,3
139,1
141,4
144,3
145,1
147,2
149,2
151,1
154,4
157,1
159,1
162,1
163,2
164,2
165,1
166,1
167,4
170,1
171,1
173,4
177,1
178,1
179,4
182,1
184,4
186,4
187,1
189,4
195,2
197,2
198,7
200,9
201,2
202,3
203,1
204,4
205,2
209,1
210,1
212,1
214,2
215,1
226,2
234,1
239,4
240,2
246,4
248,1
250,1
251,4
254,1
256,1
260,2
261,3
262,1
263,2
265,1
268,1
273,3
274,6
275,4
276,4
277,1
278,1
279,3
280,2
281,1
282,1
283,1
284,5
285,1
286,1
287,2
289,4
290,2
292,3
294,1
300,1
303,2
304,3
306,1
310,9
312,3
316,1
324,1
327,1
330,3
331,1
335,1
338,1
339,1
342,1
343,1
344,1
346,3
349,5
350,3
351,20
352,1
357,1
359,3
360,1
363,1
364,1
366,1
369,2
371,1
373,1
374,1
378,2
379,1
381,1
382,31
383,1
384,3
385,1
387,30
388,3
389,5
390,1
392,30
393,1
399,1
400,1
404,1
406,1
407,1
409,1
410,4
411,1
412,2
414,3
424,2
426,1
427,1
428,1
432,1
433,1
434,2
437,1
439,4
442,1
444,1
445,1
449,3
454,1
457,1
458,3
461,23
463,31
464,3
465,23
468,8
479,1
480,1
483,1
487,1
489,6
490,1
501,1
503,1
508,24
509,1
510,3
513,1
527,1
534,1
537,1
539,1
551,2
562,1
563,1
566,1
578,1
584,5
589,10
590,1
594,1
602,1
615,1
617,1
624,3
626,1
638,1
643,1
649,1
651,1
652,1
661,1
662,1
664,1
673,1
677,1
680,1
681,1
684,2
689,4
703,3
710,1
712,1
715,3
726,1
727,2
728,1
734,1
737,1
742,1
751,4
760,1
763,1
768,1
772,1
776,1
783,1
784,4
785,31
787,1
792,1
794,1
795,8
798,23
802,8
803,1
804,23
809,1
810,1
813,23
815,8
820,1
837,2
839,1
849,2
851,2
857,1
859,1
861,1
863,1
869,1
874,1
878,1
884,3
889,1
890,1
897,1
914,1
917,1
921,1
925,1
934,1
937,1
942,1
949,2
961,1
963,1
973,1
974,1
984,1
989,1
996,1
999,1
1006,1
1014,2
1031,1
1034,2
1037,1
1051,1
1057,1
1084,1
1089,4
1101,1
1109,1
1151,2
1163,1
1184,8
1189,2
1201,1
1209,1
1214,2
1223,1
1231,1
1237,2
1239,2
1240,1
1251,2
1254,1
1260,1
1271,1
1282,1
1284,1
1289,2
1314,3
1339,1
1358,1
1363,1
1373,1
1384,4
1389,2
1404,2
1414,1
1425,1
1429,1
1437,1
1451,1
1453,1
1464,1
1474,1
1484,3
1489,1
1501,1
1506,1
1514,1
1520,1
1522,1
1537,1
1551,1
1559,1
1584,1
1589,1
1636,1
1659,1
1663,2
1674,1
1684,2
1689,1
1709,1
1714,1
1751,3
1756,1
1784,1
1813,1
1821,1
1851,1
1869,1
1871,1
1911,1
1937,1
2029,1
2031,1
2034,2
2073,1
2089,3
2184,2
2251,1
2282,1
2334,1
2363,1
2384,1
2464,1
2751,1
2901,1
3124,1
3129,2
3184,1
