distance_ticks,count
0,15926
1,10604
2,3808
3,2286
4,1663
5,1464
6,1367
7,1154
8,922
9,1030
10,1247
11,953
12,939
13,629
14,625
15,558
16,459
17,362
18,326
19,283
20,335
21,303
22,297
23,288
24,254
25,236
26,192
27,208
28,188
29,190
30,165
31,183
32,179
33,155
34,177
35,168
36,186
37,302
38,375
39,447
40,505
41,508
42,533
43,389
44,253
45,166
46,111
47,96
48,109
49,116
50,226
51,323
52,266
53,191
54,117
55,100
56,78
57,70
58,63
59,70
60,74
61,83
62,66
63,68
64,65
65,79
66,75
67,70
68,81
69,81
70,68
71,56
72,56
73,47
74,45
75,36
76,46
77,38
78,39
79,38
80,34
81,32
82,24
83,26
84,36
85,30
86,37
87,29
88,25
89,33
90,33
91,32
92,25
93,50
94,34
95,49
96,51
97,50
98,51
99,53
100,34
101,23
102,19
103,22
104,30
105,32
106,30
107,29
108,19
109,22
110,14
111,15
112,16
113,18
114,19
115,30
116,22
117,26
118,25
119,28
120,25
121,26
122,21
123,20
124,27
125,21
126,11
127,24
128,11
129,19
130,12
131,9
132,8
133,13
134,11
135,12
136,9
137,11
138,10
139,6
140,13
141,3
142,14
143,9
144,10
145,13
146,9
147,3
148,5
149,12
150,7
151,9
152,10
153,10
154,5
155,12
156,8
157,15
158,13
159,13
160,13
161,20
162,15
163,24
164,19
165,19
166,31
167,31
168,38
169,48
170,87
171,116
172,211
173,283
174,262
175,189
176,170
177,206
178,340
179,414
180,454
181,350
182,219
183,126
184,117
185,85
186,44
187,19
188,15
189,11
190,10
191,10
192,13
193,12
194,11
195,9
196,10
197,5
198,9
199,13
200,15
201,14
202,20
203,21
204,24
205,35
206,30
207,41
208,59
209,67
210,75
211,108
212,188
213,200
214,272
215,341
216,358
217,333
218,497
219,484
220,596
221,615
222,613
223,595
224,494
225,316
226,362
227,275
228,191
229,169
230,134
231,96
232,78
233,48
234,56
235,36
236,40
237,29
238,29
239,30
240,27
241,18
242,11
243,11
244,9
245,4
246,3
247,8
248,4
249,11
250,8
251,5
252,3
253,8
254,6
255,1
256,5
257,1
258,4
259,5
260,3
262,1
263,1
264,3
266,1
267,8
268,4
269,1
270,4
271,2
273,2
277,3
278,1
279,1
280,1
281,2
282,2
283,1
284,3
286,2
287,4
288,3
289,1
291,1
292,4
293,2
294,1
295,1
299,1
300,2
301,1
302,1
303,2
305,3
309,1
312,1
316,2
321,1
322,1
325,1
327,2
330,1
331,1
332,1
336,2
339,2
340,1
341,1
342,2
343,3
344,1
347,1
352,2
354,1
356,2
365,2
366,1
367,1
369,1
370,1
372,1
373,2
377,1
378,1
387,1
389,1
390,1
391,1
392,2
394,1
396,3
400,1
406,1
407,1
409,1
410,1
417,2
418,2
421,1
422,1
424,5
425,4
427,2
432,2
433,1
434,2
436,4
437,4
439,1
440,4
441,4
442,2
443,1
444,2
445,2
446,2
447,1
448,1
449,2
451,3
452,1
453,2
454,1
455,3
456,1
458,3
459,1
462,4
463,3
466,1
467,2
468,2
469,3
475,1
477,5
478,1
479,2
480,1
481,2
482,1
483,3
484,2
485,1
486,1
488,3
489,1
490,1
492,3
493,1
494,1
495,1
499,1
502,2
504,1
516,1
520,1
522,2
525,2
535,1
536,1
537,1
538,2
539,1
540,2
541,3
542,2
543,4
544,2
545,3
546,7
547,9
548,14
549,13
550,7
551,8
552,13
553,10
554,18
555,11
556,16
557,16
558,22
559,20
560,16
561,13
562,21
563,17
564,11
565,9
566,13
567,17
568,13
569,18
570,17
571,18
572,18
573,15
574,29
575,42
