distance_ticks,count
0,24299
1,12762
2,5181
3,4224
4,3204
5,2663
6,2662
7,2918
8,2628
9,2731
10,2096
11,1079
12,861
13,773
14,610
15,825
16,991
17,762
18,741
19,471
20,392
21,614
22,331
23,322
24,533
25,309
26,209
27,208
28,194
29,201
30,217
31,247
32,190
33,178
34,185
35,328
36,423
37,365
38,338
39,306
40,351
41,300
42,297
43,239
44,218
45,197
46,191
47,172
48,163
49,144
50,115
51,112
52,103
53,114
54,98
55,92
56,102
57,107
58,82
59,67
60,60
61,69
62,58
63,64
64,55
65,56
66,33
67,53
68,48
69,34
70,53
71,46
72,54
73,42
74,43
75,44
76,34
77,40
78,34
79,41
80,35
81,21
82,30
83,31
84,36
85,44
86,40
87,35
88,37
89,33
90,28
91,26
92,27
93,40
94,24
95,29
96,18
97,24
98,13
99,17
100,11
101,19
102,17
103,22
104,15
105,14
106,14
107,16
108,22
109,16
110,12
111,14
112,11
113,17
114,11
115,13
116,17
117,8
118,7
119,6
120,3
121,4
122,3
123,7
124,11
125,2
126,6
127,5
128,4
129,5
130,7
131,8
132,3
133,5
134,3
135,3
136,3
137,4
138,2
139,4
140,3
141,5
142,4
143,5
144,2
145,5
146,2
148,5
149,7
150,7
151,4
152,2
154,2
155,3
156,6
158,5
159,2
160,4
161,4
162,1
163,2
164,1
165,2
166,3
167,3
168,3
169,1
170,7
172,5
173,2
174,2
176,5
178,2
179,2
180,3
181,2
182,2
183,5
185,3
186,2
188,2
189,1
190,2
192,2
193,2
194,1
195,3
196,2
197,4
198,2
200,1
201,2
202,1
203,1
204,2
205,2
206,2
208,1
209,4
210,2
211,3
212,3
213,2
217,1
218,3
219,3
220,1
221,1
222,1
225,2
227,2
228,1
232,2
233,1
237,2
240,1
242,1
244,1
245,1
246,1
247,2
248,2
249,1
251,1
252,1
254,2
261,1
262,2
263,1
264,1
265,2
266,1
268,1
270,1
272,1
273,3
274,1
275,4
276,1
278,1
279,2
281,1
285,2
286,1
287,1
288,1
289,1
290,3
292,2
293,1
296,1
297,3
298,1
299,1
300,1
301,2
304,1
306,1
307,1
308,1
309,1
310,2
311,2
313,1
314,2
317,1
318,1
319,1
320,2
322,1
324,2
326,1
329,2
331,1
333,2
335,1
337,1
339,1
342,1
344,1
345,1
346,1
347,1
348,1
349,1
353,1
358,1
359,1
360,1
362,1
365,1
366,1
368,1
371,1
380,1
382,1
383,1
385,1
387,1
398,2
409,2
416,1
418,2
422,3
425,1
438,1
452,2
453,1
456,1
459,1
460,1
461,1
462,1
463,1
466,1
467,1
468,2
469,1
472,1
473,6
475,1
476,1
477,2
478,4
479,4
480,2
481,2
482,4
483,7
484,4
485,3
486,12
487,7
488,10
489,13
490,15
491,16
492,32
493,36
494,48
495,77
496,108
497,158
498,198
499,237
500,240
501,196
502,157
503,172
504,228
505,301
506,205
507,138
508,118
509,75
510,53
511,37
512,31
513,34
514,24
515,20
516,17
517,22
518,13
519,6
520,5
521,8
522,3
523,4
524,6
525,2
526,6
527,6
528,2
529,16
530,20
531,17
532,28
533,45
534,56
535,102
536,148
537,268
538,412
539,540
540,775
541,821
542,736
543,550
544,430
545,387
546,315
547,303
548,274
549,242
550,153
551,89
552,66
553,51
554,44
555,39
556,11
557,20
558,17
559,13
560,20
561,20
562,20
563,19
564,14
565,38
566,46
567,97
568,134
569,232
570,493
571,705
572,732
573,584
574,483
575,407
576,378
577,262
578,182
579,92
580,57
581,20
582,17
583,17
584,5
585,7
586,7
587,4
588,3
589,4
590,2
591,1
594,1
595,1
598,1
601,2
602,1
606,3
607,1
610,2
612,1
615,1
616,1
617,1
618,2
619,1
623,2
624,3
625,1
626,2
627,4
628,4
629,8
630,4
631,5
632,10
633,7
634,20
635,44
636,49
637,59
638,74
639,120
640,119
641,208
642,307
643,373
644,559
645,388
646,290
647,193
648,126
649,108
650,75
651,68
652,44
653,41
654,24
655,17
656,13
657,9
658,7
659,8
660,6
661,3
662,4
663,3
664,2
665,1
666,2
667,1
668,2
669,1
671,1
672,1
673,2
676,2
677,2
679,2
684,2
689,1
695,1
696,2
697,1
705,2
713,1
716,1
718,6
719,1
730,1
740,1
742,1
764,3
766,2
775,1
785,1
795,1
804,1
809,1
818,2
820,1
821,1
830,1
834,2
836,1
837,1
840,2
859,2
890,1
893,1
897,1
898,2
899,1
905,1
908,3
913,1
924,1
936,1
939,2
949,1
950,1
954,3
961,1
966,3
972,1
980,1
988,1
990,2
1002,1
1009,1
1018,1
1078,1
1091,1
1103,3
1104,2
1114,1
1116,1
1117,1
1135,1
1136,2
1140,1
1151,1
1154,1
1182,1
1216,1
1251,2
1253,1
1259,2
1263,1
1269,1
1270,1
1275,1
1302,1
1337,4
1343,1
1348,2
1349,2
1361,1
1365,2
1373,1
1407,1
1409,2
1410,2
1411,1
1414,1
1415,1
1416,1
1417,1
1418,2
1419,4
1420,11
1421,12
1422,9
1423,13
1424,10
1425,26
1426,27
1427,22
1428,22
1429,29
1430,25
1431,43
1432,69
1433,111
1434,159
1435,196
1436,258
1437,360
1438,382
1439,421
1440,543
1441,660
1442,964
1443,1010
1444,794
1445,584
1446,412
1447,284
1448,224
1449,137
1450,131
1451,84
1452,42
1453,46
1454,46
1455,37
1456,28
1457,41
1458,30
1459,12
1460,13
1461,8
1462,3
1463,2
1464,4
1465,3
1466,1
1467,21
1468,5
1469,2
1471,1
1472,5
1473,1
1475,1
1479,1
1483,1
1492,2
1509,1
1514,2
1545,1
1555,1
1573,1
1578,1
1602,1
1687,1
1704,2
1707,33
1712,1
1718,1
1737,1
1775,1
1846,1
1880,1
1881,3
1884,3
1905,1
1939,1
1974,1
1991,1
2056,1
2074,2
2202,2
2268,1
2366,3
2559,1
2599,1
2695,1
2795,1
2972,1
2996,1
3155,1
3231,1
3260,31
3276,1
3345,1
3376,1
3382,1
3613,1
3660,1
3692,34
3817,1
3819,1
3821,1
3822,1
3823,1
3824,1
3825,1
3827,2
3829,3
3832,1
3834,1
3836,1
3838,1
3841,1
3843,1
3844,2
3845,2
3846,1
3847,1
3849,2
3850,1
3918,35
3963,1
4053,35
4208,1
4233,35
4598,8
4838,12
4984,4
5217,1
5228,1
5938,1
6066,1
6384,1
8531,1
15225,1
9981700,1
9983474,1
19981026,1
