quantity,count
1,518
2,217
3,117
4,66
5,75
6,29
7,35
8,35
9,25
10,156
11,24
12,25
13,32
14,14
15,23
16,14
17,12
18,17
19,11
20,38
21,14
22,13
23,21
24,18
25,21
26,22
27,17
28,14
29,21
30,27
31,12
32,6
33,10
34,10
35,7
36,11
37,44
38,12
39,10
40,11
41,6
42,9
43,4
44,13
45,6
46,12
47,8
48,15
49,12
50,35
51,10
52,7
53,2
54,7
55,9
56,4
57,6
58,7
59,1
60,8
61,9
62,5
63,13
64,7
65,7
66,6
67,7
68,6
69,6
70,4
71,6
72,5
73,6
74,15
75,8
76,6
77,10
78,7
79,2
80,11
81,2
82,5
83,8
84,8
85,3
86,7
87,11
88,5
89,4
90,13
91,7
92,10
93,4
94,9
95,8
96,18
97,12
98,24
99,28
100,873
101,1
102,2
103,1
110,2
112,1
113,1
114,1
116,1
120,1
123,1
124,1
129,2
139,1
140,1
149,1
153,1
161,1
164,1
169,1
174,1
178,1
184,1
197,1
199,4
200,24
201,1
211,1
245,1
260,1
299,1
300,5
400,2
766,1
800,2
868,1
882,1
1284,1
