quantity,count
1,864
2,341
3,224
4,179
5,370
6,133
7,143
8,118
9,171
10,593
11,187
12,305
13,483
14,123
15,152
16,98
17,110
18,88
19,112
20,407
21,101
22,66
23,78
24,94
25,212
26,118
27,102
28,90
29,86
30,109
31,78
32,92
33,111
34,95
35,82
36,84
37,85
38,85
39,77
40,138
41,67
42,79
43,81
44,67
45,72
46,66
47,57
48,68
49,75
50,388
51,75
52,57
53,57
54,77
55,61
56,77
57,46
58,55
59,35
60,102
61,55
62,58
63,61
64,58
65,59
66,61
67,56
68,58
69,44
70,63
71,36
72,62
73,62
74,54
75,184
76,54
77,35
78,47
79,59
80,123
81,54
82,34
83,48
84,49
85,51
86,68
87,75
88,82
89,57
90,118
91,68
92,48
93,48
94,53
95,80
96,39
97,58
98,90
99,156
100,12112
101,11
102,13
103,5
104,9
105,10
106,10
107,4
108,9
109,5
110,6
111,5
112,10
113,6
114,12
115,14
116,4
117,3
118,3
119,3
120,13
121,8
122,5
123,9
124,6
125,11
126,5
127,5
128,10
129,3
130,8
131,6
132,6
133,6
134,12
135,6
136,6
137,7
138,4
139,9
140,10
141,4
142,12
143,5
144,8
145,6
146,10
147,9
148,1
149,8
150,29
151,3
152,8
153,5
154,9
155,5
156,3
157,4
158,6
159,2
160,8
161,8
162,5
163,7
164,5
165,5
166,7
167,5
168,5
169,5
170,5
171,2
172,5
173,2
174,7
175,10
176,4
177,2
178,9
179,6
180,10
181,5
182,5
183,5
184,1
185,5
186,5
187,9
188,3
189,4
190,10
191,7
192,8
193,2
194,3
195,13
196,5
197,7
198,12
199,11
200,989
201,3
202,2
203,1
204,3
206,2
208,2
209,2
210,1
212,1
213,1
214,1
215,1
216,1
218,3
219,2
220,1
221,1
222,2
223,1
224,3
225,1
226,1
228,2
229,1
230,2
231,3
232,1
234,3
235,4
236,1
237,1
238,1
239,1
240,1
242,1
243,4
244,2
245,1
246,3
247,1
248,2
249,2
250,3
251,3
252,1
255,2
257,1
258,2
260,3
261,1
264,1
265,2
267,1
268,1
269,3
272,2
274,3
275,2
276,3
277,2
278,3
279,1
280,2
283,1
285,1
286,1
287,2
288,2
289,1
290,1
292,3
293,2
295,3
297,3
298,3
299,3
300,197
302,2
303,1
305,1
306,1
307,2
309,3
310,1
315,1
316,1
318,2
319,1
326,1
327,1
329,2
330,1
333,1
338,2
339,1
341,1
342,1
345,1
350,2
354,1
356,1
359,2
361,1
362,1
363,2
364,1
369,1
371,1
372,2
376,1
377,3
382,1
386,1
387,1
388,1
389,1
391,2
392,1
396,1
397,1
400,73
403,1
406,1
408,1
412,1
415,1
419,1
423,1
425,1
430,1
432,1
434,1
435,1
436,1
443,1
448,1
449,1
457,1
459,1
462,1
463,1
467,1
469,1
473,1
480,1
482,1
486,1
487,1
490,2
492,1
493,1
495,1
500,39
508,1
518,1
519,1
525,1
531,1
543,2
548,1
556,1
568,1
575,1
600,21
611,1
615,1
620,1
622,1
625,2
638,1
657,1
659,1
665,1
666,2
693,1
696,1
700,15
704,1
707,1
754,1
755,1
771,1
800,12
810,1
833,1
834,1
870,1
883,1
890,1
900,6
910,1
921,1
961,1
964,1
998,1
1000,6
1098,1
1100,2
1107,1
1111,1
1170,1
1177,1
1200,4
1239,1
1253,1
1272,1
1278,1
1280,1
1300,1
1343,1
1345,1
1400,1
1500,2
1516,1
1600,2
1643,1
1700,3
1728,1
1793,1
1800,2
1895,1
2000,3
2100,1
2105,1
2144,1
2200,1
2243,1
2428,1
2531,1
2775,1
2872,1
3000,1
3129,1
3792,1
4219,1
4600,1
4673,1
5000,1
5196,1
6000,1
6357,1
6734,1
8327,1
55217,1
