quantity,count
1,3525
2,1641
3,646
4,1222
5,4336
6,612
7,267
8,185
9,183
10,4360
11,198
12,222
13,94
14,189
15,772
16,238
17,255
18,371
19,310
20,856
21,279
22,249
23,415
24,169
25,238
26,150
27,181
28,111
29,166
30,416
31,108
32,64
33,78
34,79
35,56
36,61
37,142
38,47
39,57
40,116
41,70
42,126
43,159
44,27
45,88
46,51
47,71
48,50
49,44
50,1225
51,37
52,95
53,194
54,59
55,25
56,135
57,66
58,63
59,47
60,106
61,214
62,62
63,23
64,21
65,23
66,18
67,25
68,18
69,25
70,31
71,16
72,10
73,21
74,31
75,156
76,22
77,9
78,84
79,124
80,125
81,24
82,6
83,101
84,19
85,101
86,125
87,140
88,157
89,15
90,1561
91,14
92,19
93,106
94,56
95,37
96,22
97,21
98,22
99,44
100,119679
101,9
102,6
103,4
104,2
105,8
106,1
107,1
108,4
109,5
110,9
111,2
112,2
113,1
114,1
115,2
116,14
118,14
120,5
122,3
123,5
125,1
126,1
127,2
128,1
129,10
130,1
131,1
132,1
133,2
134,2
135,2
137,5
138,8
140,2
141,1
142,2
143,29
144,9
145,6
146,1
148,2
149,4
150,23
151,2
152,2
153,10
154,1
155,3
156,3
157,5
159,1
160,4
163,2
164,2
165,7
166,4
167,1
168,2
170,1
171,1
173,5
174,2
175,3
176,2
178,4
182,2
183,5
184,1
185,2
188,4
189,1
190,3
191,2
192,1
193,5
194,4
196,2
197,6
198,1
199,3
200,4238
204,4
210,24
211,3
219,1
234,1
238,6
244,2
250,6
252,1
256,1
258,1
260,1
280,1
281,1
290,3
291,2
292,5
299,9
300,1883
302,1
305,17
316,2
325,1
341,3
350,7
360,2
366,1
369,1
378,10
400,554
427,16
443,2
464,1
490,5
500,418
532,1
595,1
600,93
627,1
632,1
690,2
700,100
770,1
800,34
850,1
900,35
928,1
954,1
990,1
1000,98
1100,9
1200,15
1300,7
1400,1
1600,1
1620,1
2000,2
2200,1
10000,1
