distance_ticks,count
0,22635
1,9742
2,5285
3,2159
4,1579
5,1620
6,916
7,649
8,553
9,591
10,727
11,745
12,762
13,804
14,928
15,732
16,620
17,414
18,391
19,303
20,416
21,783
22,866
23,847
24,705
25,526
26,319
27,164
28,109
29,123
30,115
31,114
32,123
33,82
34,59
35,49
36,57
37,38
38,27
39,26
40,25
41,4
42,15
43,15
44,14
45,7
46,15
47,13
48,14
49,13
50,28
51,19
52,10
53,6
54,6
55,12
56,16
57,15
58,14
59,12
60,11
61,14
62,4
63,4
64,4
65,6
66,6
67,8
68,9
69,6
70,1
71,1
72,4
73,2
74,4
75,1
76,5
77,1
78,3
82,2
83,1
84,4
85,6
86,9
87,7
88,5
89,2
90,2
91,8
92,8
93,13
94,19
95,24
96,40
97,68
98,159
99,370
100,769
101,888
102,903
103,521
104,143
105,44
106,16
107,13
108,26
109,15
110,28
111,123
112,283
113,443
114,560
115,354
116,108
117,46
118,8
119,3
120,7
121,2
122,4
125,2
126,2
127,1
129,1
131,1
132,1
133,1
134,1
137,1
138,1
141,1
145,2
147,1
148,2
149,1
150,1
151,1
154,1
159,1
163,2
165,1
166,1
167,1
168,1
173,1
174,2
175,1
184,1
187,2
189,1
190,1
194,3
201,3
203,1
204,1
208,2
217,1
219,1
221,3
222,1
224,3
228,1
232,2
233,2
238,1
241,1
242,1
258,2
259,4
260,3
261,8
262,8
263,13
264,11
265,19
266,9
267,32
268,29
269,32
270,59
271,154
272,197
273,264
274,104
275,33
276,14
277,9
278,3
279,1
280,1
282,1
283,1
285,2
288,1
292,3
294,1
295,2
297,2
299,2
302,1
306,4
313,1
314,1
317,1
327,2
333,1
335,3
336,1
343,1
346,1
347,1
348,1
349,1
351,3
353,2
355,1
357,2
358,1
360,2
361,1
365,1
368,1
369,3
377,1
379,1
380,1
381,1
383,3
385,1
390,1
394,1
400,1
404,1
406,2
407,1
417,2
420,1
422,1
426,2
427,1
431,1
432,1
436,1
437,1
438,2
445,2
452,3
454,3
460,1
462,1
469,1
475,1
479,1
480,1
487,3
491,1
492,1
504,1
507,1
516,1
518,1
519,1
520,1
523,1
532,2
540,1
541,3
542,1
546,3
559,1
578,1
588,1
590,1
591,1
602,3
606,1
620,3
624,1
639,1
645,1
647,1
651,1
664,1
668,1
702,3
707,4
725,1
734,3
748,1
750,4
751,1
752,2
753,3
754,1
781,1
793,1
801,1
817,3
840,2
841,1
860,1
861,1
878,1
899,1
902,1
923,1
927,1
928,1
947,1
955,1
994,31
1001,1
1004,8
1010,2
1013,6
1016,3
1031,3
1034,1
1037,1
1042,8
1048,7
1056,1
1110,1
1113,25
1130,8
1141,3
1145,5
1174,1
1186,1
1200,3
1228,2
1300,3
1312,4
1354,5
3208,1
3315,1
3369,1
