quantity,count
1,749
2,367
3,145
4,109
5,206
6,71
7,84
8,85
9,52
10,291
11,66
12,48
13,42
14,46
15,139
16,43
17,44
18,44
19,44
20,182
21,24
22,31
23,26
24,41
25,47
26,52
27,25
28,22
29,35
30,163
31,28
32,32
33,23
34,34
35,36
36,22
37,66
38,16
39,22
40,73
41,20
42,13
43,12
44,27
45,22
46,15
47,12
48,22
49,29
50,88
51,24
52,14
53,8
54,14
55,26
56,21
57,13
58,23
59,19
60,39
61,18
62,10
63,12
64,19
65,19
66,19
67,14
68,17
69,12
70,49
71,17
72,18
73,12
74,37
75,27
76,27
77,17
78,14
79,15
80,39
81,13
82,17
83,16
84,22
85,23
86,12
87,15
88,18
89,11
90,53
91,12
92,12
93,22
94,21
95,32
96,20
97,22
98,45
99,63
100,2371
101,4
102,2
103,3
105,4
106,2
107,3
108,1
109,1
110,5
111,4
112,1
114,2
115,2
117,4
118,3
119,1
121,1
122,1
123,1
124,2
125,3
126,2
127,2
128,1
130,2
133,2
135,1
137,2
139,2
140,1
141,1
142,2
143,1
146,2
150,6
151,1
152,1
154,3
156,1
157,1
159,3
160,2
163,1
164,3
165,1
166,2
167,1
168,3
169,1
173,1
175,1
176,1
180,1
181,3
183,2
184,1
185,2
186,2
188,1
189,1
190,2
191,1
194,1
196,1
198,1
200,74
202,1
204,1
208,1
214,1
218,2
220,1
231,1
238,1
240,1
247,1
250,1
251,1
254,2
257,1
294,2
299,1
300,16
332,1
364,1
400,8
467,1
521,1
552,1
600,3
743,1
820,1
850,1
1000,1
