distance_ticks,count
0,12161
1,1101
2,356
3,247
4,220
5,246
6,183
7,174
8,197
9,184
10,206
11,152
12,134
13,187
14,177
15,241
16,75
17,75
18,71
19,82
20,78
21,43
22,47
23,42
24,48
25,63
26,73
27,65
28,31
29,41
30,42
31,38
32,37
33,57
34,56
35,68
36,81
37,112
38,106
39,107
40,79
41,69
42,157
43,39
44,33
45,54
46,135
47,110
48,257
49,70
50,45
51,60
52,43
53,206
54,42
55,29
56,47
57,46
58,45
59,102
60,104
61,64
62,64
63,48
64,35
65,37
66,15
67,43
68,28
69,22
70,41
71,33
72,14
73,29
74,32
75,20
76,20
77,36
78,44
79,34
80,34
81,14
82,27
83,15
84,19
85,14
86,16
87,18
88,10
89,39
90,18
91,17
92,9
93,13
94,6
95,11
97,10
98,12
99,13
100,12
101,8
102,14
103,12
104,22
105,16
106,14
107,3
108,7
109,7
110,10
111,10
112,10
113,3
114,4
115,3
116,9
117,7
118,6
119,4
120,10
121,5
122,7
123,10
124,10
125,9
126,15
127,7
128,10
129,10
130,10
131,8
132,14
133,10
134,7
135,12
136,8
137,8
138,4
139,6
140,10
141,7
142,5
143,7
144,5
145,4
146,4
147,1
148,2
149,5
150,10
151,5
152,4
153,3
154,8
155,5
156,4
157,2
158,6
159,6
160,5
161,3
162,3
163,3
164,4
165,1
166,8
167,1
168,5
169,1
170,9
171,4
172,4
173,2
174,5
175,4
176,7
177,9
178,1
179,3
180,3
181,5
182,4
183,6
184,9
185,6
186,4
187,2
188,6
189,4
190,4
191,4
192,4
193,1
194,4
195,3
197,3
198,5
199,3
200,6
201,3
202,4
203,1
204,6
205,2
206,1
207,1
208,2
209,3
210,3
212,6
214,4
215,4
216,2
217,2
218,3
219,3
220,1
221,1
222,3
223,1
224,2
225,4
226,3
227,1
228,7
229,23
230,11
231,5
232,2
233,2
234,3
235,2
236,3
237,1
239,1
240,1
241,2
242,2
243,2
244,1
245,2
246,1
248,1
249,2
250,2
258,1
259,1
261,1
263,1
264,1
265,1
266,1
269,1
270,2
271,1
272,7
273,2
274,1
275,1
276,2
277,3
278,1
280,3
281,13
282,1
283,2
284,3
285,2
287,1
288,2
289,4
290,1
291,1
292,2
293,4
294,2
296,1
297,2
299,3
301,1
302,2
303,3
304,3
305,2
306,2
307,3
308,4
309,6
310,5
311,8
312,6
313,4
314,3
315,2
317,6
318,7
319,10
320,7
321,6
322,7
323,11
324,5
325,18
326,11
327,16
328,8
329,16
330,14
331,22
332,31
333,25
334,26
335,16
336,35
337,33
338,46
339,54
340,51
341,44
342,28
343,34
344,38
345,23
346,21
347,9
348,27
349,46
350,20
351,10
352,6
353,9
354,9
355,9
356,12
357,10
358,12
359,5
360,7
361,4
362,20
363,17
364,4
365,5
366,5
367,2
368,7
369,11
370,16
371,12
372,7
373,7
374,12
375,12
376,31
377,37
378,52
379,36
380,63
381,84
382,94
383,116
384,100
385,145
386,242
387,354
388,431
389,360
390,138
391,145
392,100
393,106
394,115
395,101
396,100
397,114
398,140
399,84
400,53
401,36
402,52
403,46
404,48
405,54
406,40
407,55
408,45
409,65
410,53
411,37
412,23
413,23
414,21
415,15
416,19
417,13
418,22
419,15
420,31
421,8
422,6
423,4
424,8
425,17
426,15
427,11
428,16
429,6
430,8
431,4
432,6
433,4
434,15
435,19
436,12
437,12
438,14
439,7
440,5
441,5
442,4
443,3
444,5
445,7
446,5
447,4
448,16
449,8
450,2
451,9
452,8
453,14
454,4
455,4
456,1
457,2
458,5
459,1
460,3
461,4
462,3
463,4
464,7
465,2
466,3
467,1
469,2
470,1
471,2
472,2
473,3
474,2
475,1
476,2
477,6
478,2
479,2
480,1
482,3
483,3
484,14
485,4
486,4
487,2
488,1
490,1
491,1
492,1
493,2
496,1
500,2
501,1
502,1
504,3
506,2
508,3
509,3
516,1
517,2
518,1
519,2
520,2
521,2
527,1
534,1
535,1
536,1
537,1
538,1
541,1
546,1
550,1
551,1
552,1
554,3
555,1
557,2
559,3
562,1
564,2
566,1
567,1
569,1
570,1
572,1
573,2
576,1
579,2
584,1
586,1
587,1
588,1
589,1
590,4
591,4
592,1
594,1
598,3
600,1
601,3
602,1
603,1
604,3
607,2
608,4
609,4
610,1
611,1
612,2
613,1
614,1
615,1
616,1
617,2
618,3
619,5
620,5
621,7
622,5
623,2
624,3
625,7
626,6
627,5
628,7
629,8
630,8
631,10
632,9
633,11
634,18
635,21
636,26
637,36
638,30
639,54
640,62
641,58
642,106
643,110
644,226
645,368
646,333
647,260
648,205
649,153
650,128
651,103
652,120
653,108
654,85
