quantity,count
1,166
2,192
3,335
4,33
5,67
6,34
7,35
8,22
9,33
10,60
11,13
12,18
13,14
14,28
15,25
16,11
17,6
18,12
19,9
20,24
21,4
22,6
23,6
24,14
25,11
26,5
27,13
28,4
29,8
30,12
31,3
32,2
33,7
34,5
35,3
36,4
37,4
38,11
39,3
40,13
41,7
42,7
43,2
44,1
45,5
46,3
47,5
48,2
49,4
50,16
51,3
52,2
53,2
54,4
55,2
56,1
57,5
58,5
59,7
60,14
61,2
62,4
63,2
64,5
65,4
66,3
67,3
69,1
70,4
71,4
72,1
73,1
74,3
75,5
76,7
77,1
78,1
79,1
80,5
81,1
82,3
83,2
84,3
85,4
86,4
87,4
88,2
89,4
90,7
91,4
92,2
93,4
94,5
95,5
96,5
97,4
98,11
99,4
100,303
103,1
108,1
110,1
113,1
114,1
122,1
126,1
150,1
171,1
174,1
179,1
184,1
188,2
192,1
199,2
200,15
206,1
223,1
232,1
240,1
269,1
286,1
296,1
300,2
316,1
317,1
400,1
484,1
493,1
600,1
624,1
684,1
