quantity,count
1,159
2,83
3,213
4,164
5,128
6,60
7,26
8,4
9,13
10,62
11,15
12,8
13,3
14,1
15,14
16,1
18,4
19,15
20,26
21,1
22,13
23,3
24,2
25,3
27,3
28,9
29,1
30,24
32,4
33,1
34,6
35,3
36,11
38,1
39,3
40,8
42,1
43,3
44,1
45,3
46,1
47,2
48,2
50,4
51,4
52,3
53,1
54,1
55,6
57,5
58,1
60,2
61,6
62,1
65,1
66,1
67,1
69,1
70,2
71,3
72,5
73,2
74,1
75,1
76,1
78,2
80,1
81,2
83,2
84,2
85,4
87,2
88,3
90,1
92,1
93,3
94,2
95,1
96,3
97,1
98,10
99,2
100,6893
104,1
119,1
120,3
125,1
134,21
135,28
140,1
141,2
144,46
151,18
152,23
153,7
162,2
175,1
193,2
194,1
200,400
213,3
220,1
229,1
248,1
300,49
400,6
500,20
540,1
585,4
600,14
700,29
800,6
900,1
950,1
1000,2
1300,1
1500,1
2000,1
3000,2
5714,1
5861,1
10000,1
10020,1
