quantity,count
1,2502
2,847
3,313
4,268
5,530
6,143
7,98
8,116
9,181
10,903
11,109
12,114
13,208
14,495
15,664
16,114
17,114
18,209
19,75
20,276
21,129
22,106
23,88
24,102
25,120
26,120
27,167
28,231
29,123
30,1143
31,64
32,50
33,63
34,52
35,79
36,66
37,30
38,43
39,35
40,179
41,46
42,46
43,49
44,35
45,43
46,44
47,63
48,49
49,28
50,316
51,29
52,48
53,44
54,39
55,41
56,30
57,22
58,26
59,40
60,185
61,31
62,31
63,27
64,26
65,62
66,36
67,33
68,45
69,55
70,115
71,21
72,43
73,23
74,20
75,37
76,34
77,33
78,33
79,76
80,39
81,15
82,27
83,50
84,27
85,38
86,23
87,24
88,65
89,32
90,26
91,45
92,71
93,34
94,34
95,60
96,45
97,59
98,37
99,53
100,58517
101,8
102,4
103,10
104,8
105,8
106,9
107,6
108,14
109,9
110,8
111,1
113,2
114,2
116,2
117,4
118,5
119,2
120,4
121,1
122,1
126,2
127,1
128,8
129,1
130,2
131,1
132,3
133,2
134,9
135,5
136,1
137,7
138,10
139,11
140,7
141,10
143,1
144,1
145,1
146,5
147,2
149,1
150,5
151,3
155,1
159,2
160,1
163,1
164,1
165,4
168,1
173,1
177,1
178,1
180,16
181,1
183,1
185,3
186,6
190,4
191,1
192,2
196,11
198,1
200,1209
208,1
216,1
219,1
220,2
222,2
223,1
230,1
244,1
247,1
250,1
256,1
259,1
282,1
291,3
300,2327
334,1
350,1
359,1
370,1
400,3880
500,1992
600,50
655,1
700,139
800,215
850,1
900,106
1000,23
1200,1
1900,1
2000,38
