distance_ticks,count
0,186981
1,43991
2,22874
3,15360
4,15857
5,21147
6,15711
7,11135
8,10172
9,6547
10,4132
11,2446
12,2007
13,1479
14,1120
15,831
16,890
17,678
18,927
19,985
20,795
21,640
22,536
23,309
24,151
25,69
26,54
27,48
28,83
29,120
30,522
31,962
32,241
33,399
34,603
35,193
36,145
37,205
38,130
39,134
40,203
41,190
42,92
43,96
44,118
45,153
46,120
47,91
48,125
49,144
50,57
51,15
52,17
53,5
54,5
55,11
56,4
57,10
58,3
59,8
60,10
61,10
62,5
63,17
64,9
65,7
66,8
67,5
68,7
69,2
70,4
71,3
72,2
75,3
76,3
77,2
78,5
79,3
80,2
81,3
82,3
83,3
84,1
85,8
86,7
87,1
88,4
89,2
90,3
91,2
92,3
93,5
94,1
95,2
96,2
97,3
98,15
99,5
100,8
101,8
102,9
103,6
105,1
106,3
107,2
108,5
109,3
110,4
112,5
113,3
114,6
115,1
116,2
117,3
118,7
119,6
120,5
121,7
122,6
123,4
124,13
125,8
126,2
127,1
128,1
129,2
130,2
131,1
132,2
133,2
134,2
135,2
136,8
137,2
139,1
140,3
141,1
142,1
143,1
144,2
146,1
147,4
148,7
149,34
150,12
151,88
152,464
153,1225
154,758
155,60
156,3
157,5
158,1
159,4
161,5
162,6
163,5
165,4
166,3
167,3
168,3
169,28
170,358
171,1510
172,1036
173,151
174,18
175,7
176,10
177,4
178,2
179,4
180,46
181,343
182,1062
183,950
184,725
185,75
186,133
187,52
188,248
189,1045
190,1711
191,393
192,24
193,1
194,3
195,4
196,4
197,2
198,5
199,2
200,1
201,19
202,2
203,2
204,1
205,5
206,1
207,6
208,2
209,1
210,2
211,1
212,4
214,1
217,1
218,2
219,6
225,6
228,3
229,1
230,2
232,2
233,1
234,1
236,7
238,2
239,3
240,2
241,4
243,5
246,2
249,1
250,13
251,8
252,2
253,4
254,4
255,4
256,4
257,1
258,1
260,1
262,3
263,1
267,2
269,1
270,4
271,1
272,1
273,5
276,1
280,1
281,1
282,1
283,2
284,1
285,5
286,6
287,2
288,1
289,5
290,1
292,2
293,1
295,1
296,1
298,1
300,2
301,2
302,2
303,20
304,3
306,2
308,3
309,1
313,2
314,2
315,3
317,2
319,6
328,3
329,1
330,2
332,1
333,3
335,1
336,3
340,2
341,1
343,2
344,3
345,1
346,1
348,1
351,1
353,2
361,3
362,3
363,4
364,1
365,1
366,1
369,2
371,3
375,2
376,1
381,1
383,1
385,1
386,1
390,1
393,3
394,1
398,1
401,1
403,6
405,2
406,27
407,3
408,5
409,1
412,4
413,2
414,1
419,6
420,1
426,1
435,2
436,2
437,1
444,1
446,3
450,1
451,1
455,26
463,1
466,1
467,2
468,3
469,3
470,44
471,227
472,700
473,891
474,428
475,75
476,3
480,2
482,1
485,27
486,2
491,1
499,1
500,1
503,61
505,2
512,1
513,1
521,1
522,1
550,1
561,1
567,1
569,1
570,2
587,1
591,1
603,3
604,1
605,2
606,1
608,1
616,1
618,1
621,1
636,1
650,1
653,1
660,1
670,1
671,1
695,1
700,1
705,7
706,8
712,1
716,1
721,1
750,2
770,1
779,1
785,1
786,3
792,1
805,2
806,1
820,1
896,1
906,1
908,1
916,1
921,3
927,1
936,3
956,1
965,1
978,1
982,1
986,1
1012,3
1014,4
1020,11
1023,1
1027,1
1031,1
1050,1
1076,1
1087,1
1088,1
1091,1
1094,1
1098,1
1099,1
1133,1
1143,1
1147,5
1148,2
1158,11
1181,1
1200,1
1205,2
1208,1
1215,6
1217,6
1236,1
1250,1
1256,14
1257,6
1258,3
1259,9
1263,3
1264,4
1265,6
1266,3
1268,4
1287,12
1303,1
1304,1
1305,1
1314,3
1316,1
1318,1
1323,8
1347,12
1519,1
1598,1
1727,1
1757,1
1777,1
1804,1
1825,1
1886,1
1936,1
2200,1
2205,1
2718,1
2750,1
2886,1
2922,1
2936,1
4250,1
4936,3
