quantity,count
1,121
4,1
5,81
6,1
7,4
8,1
10,135
12,1
14,3
15,4
17,2
19,7
20,15
21,3
23,1
24,1
25,4
26,1
27,1
30,110
34,3
36,1
37,1
38,1
40,3
42,1
43,1
48,9
49,1
50,12
54,3
56,2
59,3
65,46
69,1
70,1
75,4
80,1
81,1
83,3
88,1
89,1
97,1
100,2419
120,4
125,1
140,3
150,1
152,1
200,150
215,3
260,1
271,1
295,2
300,64
350,1
397,1
400,10
409,1
484,1
490,1
499,2
500,35
528,1
600,38
700,13
794,1
800,26
900,26
1000,59
1022,1
1100,1
1200,3
1246,2
1250,1
1294,1
1500,7
1654,1
2000,12
2199,1
2500,6
2600,1
2641,1
2797,1
3000,2
4000,1
4801,1
5000,4
5924,1
7500,2
