distance_ticks,count
0,29245
1,8618
2,1095
3,2582
4,2727
5,891
6,737
7,230
8,281
9,192
10,149
11,250
12,386
13,167
14,295
15,61
16,42
17,37
18,27
19,18
20,9
21,26
22,40
23,14
24,10
25,11
26,14
27,7
28,18
29,21
30,42
31,44
32,18
33,12
34,4
35,4
36,3
37,24
38,29
39,4
40,30
41,1
42,7
43,1
44,26
45,20
46,3
47,4
49,1
51,2
53,4
54,5
55,1
56,19
57,2
58,1
59,4
65,2
68,2
76,1
77,1
78,1
80,2
81,1
82,41
83,1
85,4
89,1
90,2
93,8
94,1
97,4
100,3
101,1
102,22
103,4
104,1
105,23
106,1
107,22
108,2
109,1
110,22
111,1
113,22
115,1
117,1
118,1
119,1
193,1
304,1
384,1
401,1
403,1
415,1
