risk_limit_per_asset,post_shock_seconds,gross_exposure_delta_mean,gross_exposure_delta_lower,gross_exposure_delta_upper,gross_exposure_delta_n,quote_scale_delta_mean,quote_scale_delta_lower,quote_scale_delta_upper,quote_scale_delta_n,requested_depth_reduction_mean,requested_depth_reduction_lower,requested_depth_reduction_upper,requested_depth_reduction_n
800,1.0,5384.6593003000135,4592.113059520448,6177.205541079579,20,-0.00909570825,-0.010434468740789926,-0.007756947759210075,20,0.0,0.0,0.0,20
800,2.0,5176.938578399999,4393.002909344743,5960.874247455255,20,-0.008744828649999998,-0.010069044314558852,-0.007420612985441144,20,3721.95,3084.608094590397,4359.291905409603,20
800,3.0,4912.437301299983,4207.483742042254,5617.390860557713,20,-0.008298035850000001,-0.009488835736882265,-0.007107235963117739,20,3761.05,3223.385045256806,4298.7149547431945,20
800,4.0,4644.156079000031,3952.6099034990702,5335.702254500992,20,-0.007844858250000001,-0.009013010563777983,-0.00667670593622202,20,3597.0,3114.133490412674,4079.866509587326,20
800,5.0,4345.766267400002,3754.004106264938,4937.528428535066,20,-0.007340821499999999,-0.008340419741179089,-0.006341223258820908,20,3370.25,2842.693367404534,3897.806632595466,20
800,10.0,2335.7433576999756,1422.97979895922,3248.5069164407314,20,-0.003945512399999998,-0.005487342780230804,-0.002403682019769193,20,2139.9,1522.3055362327023,2757.494463767298,20
800,15.0,1618.9574789499572,846.4092994951251,2391.5056584047893,20,-0.002734725400000005,-0.004039705486205181,-0.001429745313794828,20,1230.35,492.0433225195128,1968.656677480487,20
800,20.0,701.0756551499944,-129.24625148160305,1531.3975617815918,20,-0.0011842493000000036,-0.0025868201035891937,0.00021832150358918625,20,951.4,165.0297398335431,1737.7702601664569,20
800,30.0,348.5282973499969,-537.4658492902752,1234.522443990269,20,-0.0005887303499999954,-0.002085342039522867,0.0009078813395228762,20,389.6,-329.01124301073935,1108.2112430107395,20
800,300.0,8.979578400036553,-1574.3966056655509,1592.3557624656241,20,-1.516829999999858e-05,-0.002689790285259148,0.0026594536852591506,20,84.65,-1209.3334982305007,1378.633498230501,20
800,1800.0,-445.6471602500125,-5662.599566185239,4771.305245685215,20,0.0007527824499999946,-0.008059637150852039,0.009565202050852028,20,-1010.95,-6828.095985900227,4806.195985900227,20
1600,1.0,6621.768201300048,6054.6723360094875,7188.864066590608,20,-0.005592709649999995,-0.00607167573896018,-0.0051137435610398106,20,0.0,0.0,0.0,20
1600,2.0,6252.472590600012,5627.186888232942,6877.7582929670825,20,-0.005280804499999997,-0.005808917385313554,-0.0047526916146864405,20,2343.9,2045.4000604589405,2642.3999395410597,20
1600,3.0,6062.037745449937,5432.2388213464,6691.836669553473,20,-0.005119964250000006,-0.0056518889714919866,-0.004588039528508026,20,2092.85,1785.923794183422,2399.776205816578,20
1600,4.0,5642.719622449973,4991.076880288096,6294.36236461185,20,-0.004765810550000001,-0.005316184486584325,-0.004215436613415677,20,1959.0,1628.806726010173,2289.193273989827,20
1600,5.0,5413.273723200034,4734.904560714869,6091.642885685198,20,-0.004572021900000001,-0.0051449688339359,-0.003999074966064101,20,1938.65,1569.0544617889466,2308.2455382110534,20
1600,10.0,3807.13870079997,3107.158041638831,4507.119359961109,20,-0.003215488700000005,-0.0038066885509401493,-0.0026242888490598604,20,1774.1,1460.870160702324,2087.329839297676,20
1600,15.0,2657.913268199959,1900.7990451773785,3415.0274912225395,20,-0.0022448593499999987,-0.0028843139191694436,-0.0016054047808305538,20,1096.15,767.2952690866018,1425.0047309133984,20
1600,20.0,2114.0345029500313,1056.62423168489,3171.4447742151724,20,-0.0017855020500000013,-0.0026785851468922725,-0.0008924189531077303,20,1002.3,541.8234490737718,1462.776550926228,20
1600,30.0,893.9407792499754,-56.902551191557905,1844.7841096915088,20,-0.0007550175000000062,-0.001558094672147568,4.805967214755542e-05,20,379.3,-103.27621063915024,861.8762106391503,20
1600,300.0,1345.9523092500283,-2039.5389995624244,4731.443618062481,20,-0.0011367840000000005,-0.0039961516813429125,0.001722583681342911,20,142.8,-1269.8798905521737,1555.4798905521736,20
1600,1800.0,476.8464143500081,-7746.503879132522,8700.196707832538,20,-0.00040274195000000593,-0.007348139164935642,0.00654265526493563,20,-399.35,-4393.4827919632,3594.7827919632,20
